generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,0,0,0,0.940558,0.0604569,0.224783,0.667829,-0.235147,0.588296,1.44755,-0.743871,-0.168055,-0.160694,0.26289,-0.0648835,-0.448792,0.0572269,0.260712,-0.162748,-0.794588,0.0614355,-0.906077,0.8058,-0.390211,0.112026,0.31582
1,26,0,2,0.333333,0.546672,0.900827,0.403835,0.204706,0.673167,0.236335,0.821933,1.36409,-0.914584,-1.15276,-0.299699,0.720008,-0.310427,-0.149525,-0.416408,-0.0666567,-0.438396,-1.46684,0.00208816,-0.965996,0.701713,-0.705968,-0.135601,-0.443709
2,39,0,1,0.1,0.305129,0.900892,0.712271,-0.126111,0.778654,0.289773,0.975931,1.70715,0.164625,-1.61743,0.430204,1.39844,-0.259606,-0.341555,0.254883,-1.20554,0.586093,-1.94463,0.0287398,-1.74925,1.26333,0.150211,-0.535554,-0.0720945
3,52,0,1,0.0666667,0.253708,0.87366,-0.152645,0.128608,0.922469,0.786084,0.906633,1.5538,0.181873,-1.39497,-0.284002,1.53047,0.120685,-0.131454,0.719849,-0.913148,0.790022,-1.60052,-0.283136,-1.38664,1.11762,0.907367,-0.089517,-0.0876843
4,65,0,1,0.0333333,0.182574,0.879152,0.713191,-0.196261,0.381292,0.20184,0.585069,1.94237,0.538771,-1.21384,-0.191378,1.84585,0.472918,-0.637232,0.750092,-0.657492,1.36753,-2.71432,0.0482774,-1.45211,1.49644,1.62881,0.932828,0.435404
5,78,0,2,0.133333,0.434172,0.87618,0.517458,-0.586966,-0.123535,-0.386228,0.218625,1.33305,0.584437,-1.03677,-0.627092,1.45363,-0.0476207,-0.637599,1.49774,-1.34997,1.56616,-2.96638,0.102939,-1.79996,1.54994,1.22984,1.03604,0.485484
6,91,0,1,0.133333,0.345746,0.855292,0.627265,-0.433092,-0.513025,-0.286375,0.653226,1.55045,0.367914,-1.07854,-0.651644,1.2716,-0.361761,-0.384527,1.88684,-1.2221,1.17293,-3.08133,0.538595,-0.620359,1.0789,1.18189,1.30696,-0.0397606
7,104,0,3,0.233333,0.727932,0.863189,1.19813,-0.911861,-0.207747,-0.701323,1.30233,1.22897,0.716379,-1.26306,-0.884569,1.05047,-0.743274,0.306948,1.0246,-1.45489,0.572751,-3.9187,1.61361,-1.68755,0.86036,0.860767,1.68223,0.648267
8,117,0,2,0.366667,0.668675,0.850172,1.38516,-0.550231,-0.335188,0.208825,0.580309,1.44348,1.36519,-0.627224,-1.52188,0.962503,-0.275377,0.508386,1.61458,-1.94907,0.464075,-3.27592,1.78665,-1.25547,1.18895,0.450303,1.05515,0.356597
9,130,0,3,0.633333,0.850287,0.86164,1.79384,-0.358099,-0.0331115,-0.390234,-0.249512,0.957484,1.59487,-1.03878,-1.20992,1.84404,-0.459446,1.02052,1.50034,-2.50532,1.09425,-3.99788,1.12817,-2.1428,1.72393,-0.334942,1.52721,-0.30126
