generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,8,2.66667,2.29442,0.934391,-0.254348,-0.505392,-0.596525,0.274233,0.253204,0.344306,0.614965,-0.670353,-0.785558,-0.461897,-0.509515,0.605988,0.253056,-0.479702,-0.402261,0.370974,0.428619,-0.0898211,0.0769568,-0.303594,-0.710451,-0.948097
1,26,0,13,5.06667,2.62525,0.910008,-0.103581,-0.525687,-0.279072,1.01784,0.602039,0.445416,0.858763,-0.544634,-1.01537,-1.54534,-0.433901,-0.30263,-0.163857,-0.802681,-0.738066,0.710686,-0.0382712,-0.0196423,-0.808727,-0.680207,-1.14318,-1.56074
2,39,0,15,6.66667,3.59438,0.901243,0.548878,-0.732822,-0.20998,0.917615,0.56572,0.192348,1.64395,-1.06382,-1.11138,-0.922229,0.658714,-0.583729,0.336083,-0.658505,-1.54637,0.595161,-0.632872,-0.392421,-0.889806,-0.549649,-1.19937,-2.1368
3,52,3,19,8.06667,3.83211,0.90433,0.371846,-1.42733,-0.436169,1.12383,-0.0448297,-0.890436,1.13217,-1.31849,-1.78495,-1.68427,0.793782,-0.937923,1.05636,-0.854879,-1.96637,-0.280254,-0.568475,-0.593446,-0.949207,-0.765873,-0.85042,-1.5904
4,65,3,22,11.8,5.06101,0.905435,0.793852,-1.30205,0.175325,0.450412,0.0666337,-1.21625,1.20721,-1.89429,-1.33545,-1.65581,0.716132,-1.07309,1.12507,-0.739571,-2.13599,-0.658217,-1.41746,-0.483228,0.127694,-1.04994,-1.2648,-1.8083
5,78,1,40,18.5333,9.61942,0.894396,0.33366,-1.27843,0.536068,0.463157,-0.0652085,-1.28953,1.62846,-1.73175,-0.886874,-1.9675,0.501053,-1.13684,1.3681,0.290328,-1.55284,-0.971958,-1.7746,-0.567786,-0.220248,-1.10193,-1.56367,-1.6737
6,91,5,46,20.8,10.8736,0.910955,0.341223,-1.98929,-0.071496,0.503002,-0.775264,-1.34995,1.49462,-2.17284,-1.83223,-2.76582,0.144425,-1.39159,0.157898,0.764845,-1.75932,-1.50649,-1.68822,-1.07708,-0.209015,-1.09429,-1.99581,-2.33033
7,104,5,49,23.7,10.0246,0.943697,0.331403,-1.21226,-0.814995,0.586466,-0.839932,-1.25321,1.73973,-2.67434,-1.60652,-3.72258,0.221963,-1.84764,1.08371,0.800744,-2.23053,-1.74709,-1.74378,-1.24537,-0.031265,-1.10199,-2.9116,-2.79234
8,117,3,46,12.9,9.70727,0.948949,0.287326,-1.09351,-0.640691,-0.0465699,-0.0945901,-1.20877,2.33296,-2.21613,-1.2232,-4.15605,0.068238,-1.90768,0.472521,0.36645,-2.12329,-1.48104,-1.74266,-1.72375,-0.268681,-0.851817,-3.00363,-2.57728
9,130,0,73,25.1333,15.8173,0.952227,0.0163231,-1.32447,-0.620575,0.0617398,-0.112293,-1.64254,1.66629,-2.51182,-0.371486,-3.88354,-0.50304,-2.04233,0.833886,0.254802,-1.11948,-1.13801,-2.13379,-0.828373,-0.29257,-0.337819,-3.76731,-3.47903
10,143,8,99,31.8667,20.626,0.939901,0.216291,-1.50435,-0.634214,0.218185,-0.376059,-1.43217,1.95758,-3.4324,0.035011,-3.26382,0.0122142,-2.4016,0.898151,-0.44884,-1.91718,-0.800812,-2.46958,-1.29032,-0.634509,-1.13423,-3.4851,-3.53779
11,156,11,80,40.7,19.3144,0.949224,0.0277194,-1.36551,-0.90633,0.805391,-1.27109,-2.37103,1.94314,-4.01146,-0.615853,-3.27023,0.262853,-2.89436,0.816451,-1.34662,-2.72258,-1.14582,-2.8717,-1.655,-0.50071,-1.52909,-3.62467,-3.21444
12,169,13,60,35.3,13.1704,0.953231,0.207262,-1.22097,-0.519924,0.277169,-0.641387,-2.28253,2.32928,-3.99233,-0.530658,-3.40739,0.414262,-3.53288,-0.368392,-1.35957,-2.58778,-1.4113,-3.33068,-1.43783,-1.03133,-1.51956,-4.13949,-3.32883
13,182,15,115,42.7667,19.6305,0.954874,0.403447,-1.21089,-0.574394,0.0313226,-0.929479,-2.9187,1.8542,-4.45273,-1.07939,-3.95301,0.337379,-3.66424,-0.800308,-1.43565,-2.46677,-0.933335,-2.58171,-1.57709,-1.01974,-2.32691,-4.0732,-3.56465
14,195,27,128,55.2,24.7935,0.995149,0.518024,-1.16468,-1.15309,0.0874699,-1.69066,-2.72193,1.89603,-5.4678,-1.2303,-4.31899,0.883398,-3.68108,-1.39028,-2.15964,-1.79608,-1.1409,-3.09104,-1.65012,-0.685871,-2.90749,-4.32336,-5.13235
15,208,3,71,34.8,15.1051,1.03116,0.0779387,-1.2259,-0.900915,0.362818,-1.97692,-3.24315,1.4536,-5.02305,-1.14091,-4.55811,0.726157,-3.72768,-1.50037,-2.72553,-2.03953,0.0533371,-2.32644,-1.69713,-0.811814,-3.08173,-5.98117,-4.21228
16,221,10,88,32.5333,14.8318,1.06203,0.207272,-0.562436,-2.24692,1.26012,-2.26681,-3.68477,1.26832,-5.39285,-0.602553,-3.92997,0.540977,-3.58749,-1.49098,-2.215,-2.8663,0.420709,-0.965744,-1.51392,-1.18824,-2.70085,-5.58095,-4.47423
17,234,9,81,38.5667,18.1444,1.06862,0.918448,0.367645,-3.11964,0.663599,-1.41791,-3.85869,1.7528,-5.60374,-1.37125,-3.78274,0.653777,-3.40537,-1.494,-2.14635,-3.0496,-0.228981,-1.83996,-1.78326,-1.51738,-2.73602,-5.49805,-4.67129
18,247,13,102,51.5333,25.246,1.06359,0.814225,0.218378,-3.35863,0.744344,-1.75613,-3.51119,1.34493,-6.1148,-1.69351,-3.81376,1.80388,-3.50523,-1.28319,-2.37494,-2.84217,-0.776824,-2.90181,-1.42864,-0.488907,-2.42559,-5.87636,-5.14419
19,260,22,105,53.7333,20.2603,1.04399,0.547079,-0.152057,-3.35891,-0.543924,-0.199038,-4.27207,1.27328,-5.67562,-2.27095,-4.72169,1.41814,-3.37776,-0.801963,-1.62722,-2.63968,-1.41938,-2.7358,-0.968725,-0.657059,-2.12558,-5.23106,-5.23434
20,273,6,116,51.0667,26.8623,1.08147,0.349696,0.982999,-4.23488,-1.88135,0.785106,-4.52063,1.34129,-5.31532,-2.00052,-4.7718,2.39831,-3.16118,-1.9494,-1.67101,-1.74319,-1.69631,-2.93587,-2.12064,-0.614935,-2.37767,-4.74733,-5.45222
21,286,9,95,50.2,19.9696,1.15244,0.888683,1.81342,-5.4083,-1.58148,0.982907,-4.73611,2.33137,-6.48487,-2.61004,-6.25546,2.68192,-4.01326,-2.07068,-2.25545,-1.58555,-2.05772,-3.5918,-2.4472,-1.62364,-2.44114,-5.29187,-6.69757
22,299,24,93,49.7667,19.9874,1.21174,0.880716,2.16145,-6.11912,-2.23077,0.884998,-5.26256,2.25436,-5.77123,-2.52422,-6.968,2.92168,-4.28706,-1.13145,-2.61791,-1.54848,-2.20031,-3.16005,-2.42827,-1.9426,-2.25633,-5.72981,-5.90816
23,312,15,123,46.0333,20.5535,1.24684,0.0952315,1.78537,-6.10162,-2.15523,0.49445,-5.24776,1.45379,-5.33111,-3.14152,-5.92268,2.89386,-4.09289,-1.51932,-3.06606,-1.92574,-1.86466,-4.90547,-3.93635,-1.72822,-2.41333,-6.36971,-6.86241
24,325,19,118,59.3,22.9545,1.29069,1.32273,1.00284,-6.50082,-3.13189,0.421766,-4.75913,2.34204,-6.7259,-3.7457,-6.18419,3.16328,-4.61496,-1.83246,-4.02141,-2.57405,-2.25301,-5.71347,-4.21605,-2.34102,-2.93866,-7.31324,-7.82856
25,338,19,136,60.5,26.6235,1.32486,1.19004,0.869242,-7.02338,-2.99548,0.0349605,-5.33395,0.995448,-6.64268,-3.91579,-6.83786,3.79741,-5.14633,-3.12364,-3.98697,-2.90711,-2.5891,-5.112,-4.70201,-1.58597,-2.88689,-7.74241,-8.67382
26,351,24,84,47.6,17.0771,1.32214,0.654726,0.298475,-6.29058,-2.92418,0.754811,-5.50142,0.647766,-7.08492,-4.12376,-7.05056,3.04548,-5.25055,-3.15925,-4.20742,-3.07588,-2.31915,-5.30595,-5.27875,-1.13936,-2.54219,-7.98426,-7.79478
27,364,25,149,57.9,26.242,1.32733,0.446257,1.76169,-7.30038,-3.54332,0.780238,-5.51556,0.519205,-7.20519,-4.08418,-8.32406,3.94239,-5.43347,-2.18582,-3.8834,-3.9308,-3.49129,-4.82616,-4.98923,-2.02416,-1.46893,-8.2301,-7.8681
28,377,28,85,46.1667,13.5877,1.34838,-1.05122,0.542185,-6.96509,-3.9605,0.377601,-6.43899,-0.167934,-8.6585,-3.96107,-9.10451,3.92091,-6.30611,-1.63025,-4.17103,-3.62748,-4.05744,-5.85235,-4.52366,-1.53897,-2.62828,-9.67057,-8.22734
29,390,20,92,54.3667,19.7283,1.38476,-1.26542,0.541669,-6.76399,-5.47687,-0.189911,-6.27685,-0.192283,-7.77697,-4.44215,-9.60622,3.25413,-6.47693,-1.55727,-5.22003,-1.82547,-4.21612,-7.52488,-5.04421,-1.67171,-2.76788,-9.53829,-8.50889
30,403,24,117,57.8667,19.9806,1.42627,-2.16515,-0.509709,-7.55278,-5.57312,-1.22392,-6.08597,0.111666,-8.12368,-5.75127,-9.97249,4.49423,-6.35239,-1.51346,-5.81585,-1.92778,-4.23382,-6.89804,-6.07535,-1.9672,-3.88656,-9.86777,-9.13768
31,416,18,108,59.0667,24.2059,1.5188,-3.16913,-0.491265,-7.58827,-6.79026,-1.29419,-6.82986,-1.80641,-7.57132,-7.51456,-11.1778,5.21093,-6.66636,-1.68379,-4.60906,-1.56761,-4.19284,-6.08063,-6.53624,-2.12068,-4.80168,-10.2022,-9.84944
32,429,19,106,54.3,25.2425,1.62214,-2.52554,-1.28818,-7.76526,-7.24019,-1.39089,-8.21598,-1.35762,-8.43615,-8.73985,-11.8899,4.45631,-8.62891,-0.883884,-3.53012,-1.09548,-4.35847,-6.19755,-7.79002,-2.75737,-5.14876,-10.4484,-10.4414
