generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,0,2,0.5,0.572351,0.862997,-0.247994,-0.190958,-0.385429,0.301632,-0.127103,-0.619242
1,12,19,112,56.9333,20.2637,0.893484,-0.88259,-0.789425,-0.228852,0.163703,-1.97946,-0.523228
2,18,30,332,153.533,85.4569,0.963104,-1.30487,-0.938538,-0.603453,-0.0761814,-3.06347,-0.736442
3,24,49,263,115.7,55.3386,1.06839,-1.48971,-0.541638,-0.756829,1.10954,-4.27303,-0.779767
4,30,151,9509,2498,2332.26,1.07284,-1.74643,-0.154233,-0.646027,0.497659,-4.3715,-0.724343
5,36,125,3701,1386.97,1000.14,1.07207,-1.21688,0.637204,-1.21468,0.367094,-4.74596,-1.01791
6,42,96,2534,725.533,580.664,1.21567,-1.18642,1.10748,-1.89847,0.52345,-7.17506,-1.77057
7,48,268,6923,1942.67,1624.52,1.29458,-1.75635,1.30751,-2.50972,-0.560461,-7.36229,-0.96262
8,54,1165,64059,11226,12405.6,1.41028,-1.22811,2.938,-2.02155,-0.976305,-8.39006,-0.979075
9,60,208,24789,5592.9,5677.04,1.56821,-0.855524,3.16662,-3.22961,-2.26764,-10.1653,-1.06016
10,66,244,10016,3961.23,2868.53,1.57057,-0.833808,3.23445,-3.45439,-2.50306,-9.46004,-1.07175
11,72,497,20832,6615.8,5971.17,1.4247,-1.06925,1.14218,-2.36589,-2.57448,-6.64316,-1.15163
12,78,557,27661,8060.73,6500.47,1.33655,-1.10583,1.55206,-2.3896,-3.65185,-6.72542,-0.975459
13,84,453,34416,10877.8,9127.87,1.28721,-1.76439,2.37066,-1.7509,-3.37582,-4.93727,-0.704227
14,90,242,38169,6122.63,7248.56,1.29645,-2.25101,2.3861,-2.7333,-3.73947,-3.7979,-0.859207
15,96,176,17466,4331.2,4785.29,1.27542,-2.47496,2.84467,-2.69403,-3.99553,-3.32147,-0.551123
16,102,127,25635,5605.53,5827.46,1.28572,-3.07171,2.768,-3.21521,-5.39707,-4.26058,-0.703961
17,108,135,59376,12925.8,13876.7,1.30502,-2.93182,2.6475,-2.73703,-5.83126,-2.5939,-1.59737
18,114,293,66888,16918.8,15807.8,1.31834,-2.53192,2.59314,-2.58689,-6.43796,-2.11643,-2.1392
