generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,5,332,79.5,64.4605,1.03455,-0.327443,0.262235,-1.33458,-2.03638,0.18036,-0.824557
1,12,0,45,10.8667,9.46403,1.16936,-0.566993,2.37191,-1.57236,-1.98891,0.884257,-2.14556
2,18,59,2100,695.567,512.41,1.26393,-2.1426,2.41637,-1.50881,-3.05696,0.223253,-1.44189
3,24,79,3987,1429.6,1043.25,1.46697,-3.76599,3.28766,-2.06093,-3.90398,-1.4444,-1.47915
4,30,120,3793,1168.03,1051.68,1.87268,-4.40852,6.30221,-2.26933,-5.83876,-2.26879,-4.86109
5,36,93,6864,2007.53,1815.65,2.23658,-6.36167,7.50414,-3.04312,-7.70191,-3.13511,-4.97236
6,42,122,21875,3611.67,4439.42,2.5479,-5.8094,8.82025,-1.59417,-9.35364,-4.71702,-2.8164
7,48,131,20387,6400,5495.91,2.8175,-6.091,8.92522,-2.20042,-9.85337,-8.2454,-4.26456
8,54,396,43423,9800.73,9634.36,2.91775,-5.86664,9.69837,-5.08007,-10.7654,-8.56413,-5.48397
9,60,190,18552,5604.27,5009.98,2.73754,-5.25918,10.2892,-2.2122,-9.80564,-6.36306,-2.30996
10,66,356,25752,7686.27,6676.19,2.47941,-6.98076,11.1491,-3.89045,-10.5568,-7.20845,-4.01091
11,72,303,21440,8443.23,6101.9,2.29225,-4.35404,8.36432,-5.32865,-9.33464,-7.90836,-3.42345
12,78,149,25273,6815.3,5472.37,2.17776,-6.65678,9.10751,-6.43247,-10.4056,-9.71598,-4.81753
13,84,197,133664,22082.1,25759.1,2.24741,-6.27423,7.20884,-5.49429,-12.7094,-11.5217,-4.68362
14,90,171,42818,12804.3,10553,2.25519,-7.09926,7.57274,-7.57562,-13.2968,-12.277,-6.45506
15,96,1649,115436,24176.3,25927.9,2.14461,-7.51122,10.0165,-4.85596,-14.8182,-11.6189,-5.42227
16,102,418,33431,9584.87,7482.1,1.96521,-6.83545,12.028,-5.8523,-12.8672,-9.97361,-5.10929
17,108,191,54596,13520.3,14288,1.77102,-8.40252,10.4148,-7.31077,-13.4047,-11.6849,-5.79429
18,114,1483,34143,10053.5,8640.14,1.827,-10.6721,11.2943,-6.97014,-17.3327,-12.873,-6.34098
19,120,252,84209,15345.8,18234.3,1.64902,-9.95481,10.2041,-6.08716,-14.6898,-11.6866,-5.28934
20,126,100,28701,10232.8,8614.54,1.50602,-9.4254,11.5606,-7.5794,-15.1011,-12.5911,-7.52618
21,132,258,43333,10265.7,8856.4,1.57722,-11.3606,11.7055,-9.54205,-18.0902,-14.4193,-8.86505
22,138,214,24760,6452.5,7213.31,1.83389,-12.1049,12.8108,-12.3291,-20.3247,-16.3936,-10.9871
23,144,106,27582,6527.23,6086.41,1.85956,-11.8922,11.4418,-11.8801,-19.6686,-15.4885,-10.3073
24,150,343,34370,9137.03,8873.19,1.68867,-12.0955,10.8466,-9.87425,-18.6632,-15.1392,-9.7066
25,156,354,45370,11842.8,13066.4,1.65486,-13.6754,10.7679,-10.483,-20.7843,-15.4619,-10.5705
26,162,1867,34664,10457.7,7327.99,1.70691,-14.9412,11.7363,-10.9662,-23.3538,-16.2958,-10.0997
