generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,5,1,1.33907,0.949827,0.933861,-0.273119,-0.524904,-0.0475163,-0.627658,0.199468,0.894404,-0.741162,-0.726031,-0.293413,0.319537,-1.27403,-0.0109749,-0.896314,0.65017,0.584028,0.141721,0.331303,-0.0927595,0.750271,-0.062131,-0.305606
1,26,0,2,0.433333,0.727932,0.923471,0.169557,-0.932372,0.803932,-0.343947,-1.83611,0.546849,0.205865,-0.690851,-0.785385,0.688902,0.672898,-0.441253,1.29685,-0.323334,1.17425,1.00098,0.24494,0.485752,-0.0451484,0.104335,-0.0867441,0.052417
2,39,0,2,0.4,0.621455,0.91511,1.03037,-1.04389,0.800661,-0.564789,-2.76079,0.633721,0.201286,-0.307368,-0.100144,0.142455,1.36422,-1.00184,1.32684,-0.600207,1.18652,1.04856,-0.604816,0.660539,-0.214979,0.0648975,0.482033,-0.238165
3,52,0,5,1.36667,1.40156,0.889372,1.57079,-0.577329,0.53865,-0.200128,-2.62478,0.142265,-0.356514,-0.526509,-0.382901,-0.0396552,1.00506,-1.23096,1.22075,-1.02316,1.84585,0.409227,-0.445497,0.194868,-0.449427,0.162491,0.638771,-0.394055
4,65,0,4,0.5,1.00858,0.859118,1.77647,-0.560411,0.279658,-0.00367909,-2.51882,0.466073,0.26449,-0.619724,-0.448407,-0.195254,0.884736,-1.0396,1.355,-1.87326,1.7526,0.0855879,-0.769654,0.613397,0.196597,0.604818,0.383585,-0.589185
5,78,0,5,1.26667,1.36289,0.84106,1.86491,-0.555808,0.230918,0.375572,-2.17783,-0.113025,0.516285,-0.35673,0.117705,0.566649,1.17609,-0.373474,1.45651,-2.41277,2.12738,-0.41627,-0.0352012,0.416508,0.249985,0.452797,0.932807,-0.972511
6,91,0,4,0.966667,1.44993,0.826196,1.37029,-0.327122,-0.368829,-0.26324,-2.13612,-0.389252,0.523644,0.239815,-0.551953,0.663829,0.317302,0.432444,1.95067,-2.17548,2.04122,-0.508888,-0.732336,0.122112,-0.00856058,0.309773,0.543987,-1.77404
7,104,0,6,1.1,1.37339,0.800181,0.97374,-0.612529,-0.599425,-0.192312,-1.92547,-0.113671,0.82325,-0.0491663,-0.756981,1.28605,-0.0212339,-0.343977,2.12714,-2.03695,1.75449,-0.437491,-0.582008,0.113257,0.293503,0.715162,0.288985,-2.04391
8,117,0,3,0.733333,1.17248,0.788608,1.04496,-0.439543,-0.284525,-0.918393,-1.12232,-0.394281,1.03637,-0.14208,-0.573075,1.44091,-0.228705,-0.180857,2.25164,-2.76064,1.5997,-0.382221,-0.508374,-0.245957,0.0669771,1.06282,1.01378,-2.17753
9,130,0,8,2.1,2.45441,0.793499,1.79851,-0.590483,-0.0880074,-1.32454,-0.860368,-0.726668,0.969966,-0.367711,-0.637768,0.942579,0.0897523,-0.46699,2.11144,-3.66001,1.5872,-0.979054,-1.25871,-0.719178,0.488937,0.693221,0.439921,-2.46362
10,143,0,11,2.6,3.21205,0.802989,2.69495,-0.795335,-0.116127,-1.68653,-1.18923,-0.77016,0.462564,-0.0419157,-0.813977,0.796986,-0.0281107,-0.139528,2.31034,-3.6028,1.14802,-1.35551,-1.77949,-1.08055,0.125689,0.524022,0.0995108,-2.44023
11,156,0,9,2.56667,2.58221,0.808051,2.56642,-1.17679,-0.564083,-1.6158,-0.695764,-1.23122,0.614811,-0.418102,-1.56155,0.901981,-0.0224822,-0.761242,1.88722,-3.66261,1.04831,-1.44863,-1.55227,-1.59401,0.0415037,0.98864,0.501695,-2.55292
12,169,0,10,3.53333,2.19299,0.833282,3.5958,-0.664518,-0.765621,-1.80165,-0.689465,-0.355807,0.333262,-0.802395,-1.45552,0.13265,0.374502,-0.877389,2.09047,-3.89355,0.828355,-1.41432,-1.517,-2.54145,-0.29413,0.848137,1.52589,-2.61991
13,182,0,8,3.66667,2.46819,0.838255,2.8981,-1.21301,-1.07754,-1.88242,0.340449,-0.0268108,-0.0776313,-0.624663,-1.19092,0.471407,0.246529,-0.471926,2.39524,-3.516,0.748771,-1.36318,-1.76231,-2.67001,-0.497484,0.401463,1.29889,-2.48919
