generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,0,5,1.4,1.27577,0.947274,0.522749,1.21636,0.563922,0.346888,-0.888421,-0.337404
1,12,0,11,3.9,2.32453,1.01212,0.984118,0.54479,-1.68212,0.297865,-1.91583,-0.786617
2,18,4,103,37.5333,21.1444,0.985708,0.182442,1.05767,-0.541434,-0.624605,-1.69917,-1.52195
3,24,12,242,81.9333,53.038,0.916765,-0.0675593,1.08906,-0.178737,-1.15888,-1.15518,-1.53121
4,30,448,69668,11769.9,13664.5,0.838613,-0.468883,0.548604,-0.267406,-1.31719,-1.17851,-0.391281
5,36,76,1597,406.067,331.356,0.832619,-0.178065,0.243162,-1.41408,-0.942967,-2.48618,-0.648755
6,42,58,996,274.467,218.171,0.882519,-0.0120843,0.550883,-2.32538,-1.94619,-2.49445,-0.0760508
7,48,6,129,68.3667,27.897,0.852713,-0.181296,-0.368767,-2.18867,-1.70753,-2.4085,-0.307619
8,54,200,5481,1570.73,1087.32,0.788547,-0.921358,0.622867,-1.64806,-1.93464,-1.63684,-0.3438
9,60,111,14948,3386,2969.06,0.762222,-1.6185,0.37693,-1.08908,-1.80565,-1.15343,-0.772164
10,66,130,19515,4171.27,4470.18,0.782911,-2.11176,0.306814,-0.955991,-2.31958,-0.895755,-1.37099
11,72,123,11297,2940.6,2841.42,0.75259,-2.24009,0.589669,-0.996949,-2.06914,-1.36054,-1.50718
12,78,89,6678,2134.3,1767.53,0.721944,-2.3926,-0.0394712,-1.65986,-2.45534,-1.7018,-0.862363
13,84,216,116299,17651.3,22927.1,0.686853,-2.25272,-0.176091,-0.804466,-2.83331,-1.55488,-0.979433
14,90,2197,87005,18705.2,19298.6,0.630473,-1.85342,0.0707809,-1.20655,-2.88665,-2.17245,-1.0198
15,96,128,92676,20428.6,22853.6,0.624963,-1.24946,0.0937991,-1.0265,-3.33908,-2.09282,-0.884614
16,102,1181,146176,30564.9,31792.3,0.576773,-1.33027,0.627956,-1.239,-3.08976,-2.1939,-1.03912
17,108,318,67358,22981.5,19456,0.570761,-1.68072,0.567932,-1.40673,-3.24775,-2.95175,-0.925358
18,114,443,46419,16910.5,11561,0.523974,-1.61924,0.687742,-1.50376,-3.02237,-2.8825,-1.17276
19,120,532,99797,32086.7,26476.3,0.484264,-1.97547,0.885197,-1.11397,-3.24484,-2.59748,-1.06413
20,126,164,85479,24432.3,19647,0.448791,-1.5807,1.09063,-0.945546,-2.80523,-2.38007,-1.21844
21,132,428,53007,18399.7,14744.2,0.414867,-1.68879,1.18573,-0.916139,-3.00549,-2.57223,-1.44327
22,138,2102,78555,31647.7,22991.3,0.38461,-1.67084,1.29651,-1.08001,-2.97066,-2.8315,-1.46616
23,144,1319,129021,30688.4,36550.7,0.348064,-1.85821,1.23549,-1.03151,-2.96207,-2.84854,-1.1931
24,150,858,72901,23178.4,21418.3,0.340902,-2.21181,0.865289,-0.953269,-3.2144,-2.75989,-1.3816
25,156,595,89412,22616.2,21451.1,0.315383,-2.16488,0.740911,-1.03788,-3.04752,-2.74161,-1.25208
26,162,598,151038,24895.5,33375.2,0.279426,-1.98912,0.731872,-0.892829,-3.02955,-2.67916,-1.21227
27,168,51,88934,18782.7,24887.9,0.279443,-1.90437,0.525697,-0.781304,-2.99994,-2.58638,-0.990397
28,174,761,155062,26356.1,29647.8,0.263608,-1.90175,0.460483,-0.881168,-2.90354,-2.69939,-1.0659
29,180,1612,77026,24201.2,19611.3,0.246148,-2.13888,0.414509,-1.00822,-2.95595,-2.64778,-1.08541
30,186,888,95503,32826.5,28422.2,0.223017,-1.77731,0.565167,-0.9219,-3.00365,-2.65111,-1.15377
31,192,367,92053,23842.9,22679.4,0.199695,-1.76838,0.560694,-0.90149,-2.93656,-2.53774,-1.12239
32,198,660,142151,34827.4,36454.6,0.186646,-1.67614,0.556182,-0.984506,-2.9759,-2.77778,-1.18078
33,204,337,137974,28672.5,31912.2,0.179004,-1.73605,0.775907,-0.947665,-2.89388,-2.826,-1.16267
34,210,1076,63383,23417.8,17424.7,0.16641,-1.74573,0.63347,-1.05369,-2.87983,-2.79371,-1.02225
35,216,2138,93353,27537.6,25020.7,0.155134,-1.72005,0.710033,-1.03928,-2.89069,-2.80875,-0.982429
36,222,404,160865,28235.7,34039,0.135424,-1.77203,0.610843,-1.06221,-2.93003,-2.85634,-1.04018
37,228,355,103769,22933.7,23249.2,0.127984,-1.78901,0.59077,-1.16867,-2.98365,-2.86373,-1.0073
