generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,103,1535,508.133,385.559,-4.03707,3.33355,-4.43759,-7.10567,-11.228,-11.0456
1,200,151,93697,21497.9,23673.5,-8.39104,5.23444,-6.36543,-9.36428,-19.3951,-7.86018
2,300,1101,140455,30232.2,29672.8,-9.33677,6.47621,-6.19498,-10.6293,-25.7622,-7.5675
3,400,1282,131871,31956.7,30939.1,-10.2331,6.8518,-6.92889,-11.9456,-27.3487,-8.19958
4,500,178,106192,18750.3,20996.9,-11.4335,7.13942,-7.63583,-14.9642,-26.6558,-7.38391
5,600,115,82089,22363,18544.1,-11.7192,6.7479,-7.26867,-15.6086,-29.4583,-7.11526
6,700,595,81578,17756.8,19822.4,-11.1748,5.151,-8.09365,-17.0574,-29.8106,-7.47263
7,800,248,57224,22872.1,17793.7,-11.0298,3.94856,-8.6049,-15.1915,-29.5475,-8.8645
8,900,263,172370,30909.6,36677.3,-12.6796,4.3625,-7.77992,-15.9909,-30.7045,-8.62265
9,1000,1207,75926,29693.6,23703,-12.6268,6.00417,-8.39974,-16.9824,-28.7721,-8.98654
10,1100,819,115948,33547.5,30338.3,-12.243,4.25677,-8.36907,-17.7195,-27.9211,-8.71712
11,1200,178,113832,24097.4,23730.6,-11.9454,5.31093,-7.09254,-17.4782,-28.7477,-9.29808
12,1300,425,155045,27748.8,32231.1,-11.7385,4.93169,-7.35496,-17.4287,-27.5555,-9.14916
13,1400,1217,101449,24051.6,26308.8,-12.2117,5.34792,-7.73822,-16.1535,-27.9767,-8.55861
14,1500,524,96447,27962.7,25188.1,-12.9852,4.30869,-7.00294,-18.5455,-26.3598,-8.34846
15,1600,534,130356,29942.6,29528.7,-13.6424,4.00969,-8.37585,-17.8746,-25.9498,-8.53393
16,1700,263,88028,23081.9,22261.8,-13.7425,4.6956,-8.18165,-18.0092,-26.1311,-9.11367
17,1800,1252,180085,36034.1,39425.1,-14.375,5.35185,-7.7834,-19.0768,-26.8509,-9.59169
18,1900,60,99589,30312.8,27069.6,-14.2515,4.53507,-8.22522,-21.0557,-26.5742,-10.3242
19,2000,289,115486,23472.9,27659.8,-12.0572,5.04222,-7.64829,-20.8785,-30.2676,-11.0101
20,2100,1427,80318,23798,20744,-11.7558,6.1052,-9.65654,-20.6672,-29.3487,-10.8622
21,2200,1681,103058,27243.5,27642.6,-12.3813,7.9356,-9.16442,-22.4331,-30.2371,-10.3051
22,2300,427,100123,22266,22613,-12.5403,6.48495,-9.83306,-22.3958,-29.3497,-10.0454
23,2400,3770,121115,32162.3,26274.4,-11.5814,8.35472,-10.0272,-22.0174,-30.5783,-11.0878
24,2500,70,52349,14462.1,14269.1,-11.7425,7.72831,-9.91729,-24.532,-32.3368,-12.1042
25,2600,1111,151280,37286.7,38254.6,-12.9138,9.29788,-10.0804,-24.5483,-32.5644,-10.5083
26,2700,1768,95865,28463.5,28448,-14.7477,8.77926,-11.1974,-24.3396,-33.8433,-11.0822
27,2800,3777,144436,35683.5,35986.2,-14.491,7.56297,-11.5538,-25.2175,-31.7965,-10.1091
28,2900,1001,142840,35900.8,33766.7,-15.6732,8.10952,-10.5258,-25.3286,-31.6917,-10.5165
29,3000,484,67097,20548.1,15903.4,-14.6711,9.57119,-10.5688,-27.5299,-32.2937,-11.7767
30,3100,94,80361,34795.4,24278.7,-15.0314,8.46246,-10.2829,-28.1156,-31.0752,-12.2771
31,3200,1496,172987,36683.1,41876.2,-14.8697,8.93027,-11.5846,-28.054,-28.8161,-12.7849
32,3300,412,123313,28799.6,24689.5,-15.7764,9.58818,-11.4685,-28.4813,-27.3476,-11.9458
33,3400,204,107241,26784,26943.6,-14.4841,10.7496,-10.5202,-30.278,-27.4137,-11.1201
34,3500,663,114720,28531.5,30146.2,-15.1513,11.3563,-10.3239,-29.4697,-22.9798,-11.5018
35,3600,1306,148867,38719.4,36113,-16.031,10.5733,-11.2261,-29.7585,-24.9111,-11.2321
36,3700,451,138650,33072.4,37578.5,-17.2239,9.13226,-10.4797,-31.3931,-24.9875,-12.052
37,3800,2487,145134,29139.3,31427.3,-17.6214,8.69103,-10.1015,-30.9129,-24.6196,-11.1281
38,3900,1379,154525,26988.9,31118.7,-15.4161,9.58492,-11.0775,-29.8548,-24.4247,-10.7907
39,4000,64,141306,28498.1,33828,-14.1132,9.07494,-10.9165,-30.8435,-24.5763,-10.6588
40,4100,127,124825,29133.9,34186.2,-14.2196,7.65297,-9.55361,-30.6237,-24.5085,-11.4904
41,4200,1972,122357,35325.7,32576.1,-14.1889,6.25115,-11.0259,-31.9627,-24.8539,-11.4386
42,4300,787,98257,24077.9,23170.1,-14.1533,7.24286,-11.1031,-31.9407,-24.9413,-13.2943
43,4400,819,75675,18660.3,16956.6,-13.4056,7.05792,-10.265,-31.6542,-23.6055,-12.3335
44,4500,1551,143965,31477,36504.5,-13.3643,6.59862,-10.0535,-33.2889,-23.48,-13.2272
45,4600,637,114833,35070.9,33918.7,-13.9784,6.96378,-9.31045,-31.4555,-24.2582,-12.6767
46,4700,267,187689,40484.8,45897.2,-15.1578,5.49281,-8.88501,-30.3827,-26.8609,-11.8026
47,4800,1415,133060,25782.4,28378.9,-16.0487,7.6508,-10.2227,-30.4269,-28.3071,-12.1085
48,4900,3069,190558,30049.3,42898,-17.0703,8.55981,-11.0168,-30.3571,-28.4692,-12.7746
49,5000,428,139854,25210.4,30593.7,-18.5589,8.68599,-10.9598,-30.916,-28.3354,-12.3117
50,5100,3657,175019,38027.1,36071.8,-18.464,9.30653,-10.1268,-31.6221,-27.1572,-12.6022
51,5200,410,278244,38668,55727.1,-16.5922,9.99212,-10.7978,-33.3969,-28.3038,-12.1039
52,5300,108,66447,24635.8,20507.2,-17.9317,8.05506,-12.6772,-32.8454,-29.9927,-13.4502
53,5400,678,97994,27844,25818.4,-16.8053,10.1192,-13.8871,-33.7674,-29.4893,-12.9317
54,5500,787,131997,28238.8,34020.7,-17.8404,9.76251,-12.6491,-32.7858,-29.3425,-13.5718
55,5600,1249,83646,23969.3,21866,-18.1616,10.608,-11.3095,-33.549,-29.9455,-14.1917
56,5700,1167,146419,27826.9,31366.5,-17.3856,10.1372,-10.9361,-34.1373,-29.1836,-13.547
57,5800,1213,88606,24088.8,19058.6,-18.8661,9.65272,-10.6525,-33.8271,-29.8413,-14.3123
