generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,0,6,2.13333,1.54771,0.922997,-0.414814,-0.445299,-1.19018,0.372176,-0.587535,-0.0624427
1,12,9,72,30.3,14.2639,0.886341,-0.739484,0.264928,-1.4836,0.107496,-1.17754,-0.689394
2,18,60,527,174.167,106.876,0.866815,-0.726121,-0.163734,-0.970009,-0.837757,-1.24546,-1.47404
3,24,56,854,214.467,161.524,0.858815,-1.19533,0.0398994,-1.4518,-0.990605,-1.68497,-1.79279
4,30,78,2599,705.067,640.093,0.889449,-0.820744,0.360465,-1.86877,-1.99063,-2.33009,-1.40569
5,36,181,8745,1869.97,1987.29,0.871525,-1.25368,0.315111,-1.7873,-1.82636,-2.80589,-1.16954
6,42,93,4222,1305,1035.69,0.964892,-2.12731,1.4831,-2.49876,-2.45144,-3.62759,-1.43604
7,48,246,36602,10901.5,9915.6,1.04692,-2.43454,0.956352,-1.86099,-2.66218,-4.72531,-2.24905
8,54,800,47091,16554.7,10884.4,1.113,-2.36655,0.708511,-1.07486,-2.92029,-5.34191,-1.19288
9,60,977,96615,21218.2,25914.4,1.07445,-2.33989,0.445088,-1.58683,-2.12993,-5.4445,-1.20961
10,66,798,103835,25471.6,24846.7,1.06464,-2.7976,0.993181,-1.39842,-2.22876,-6.4374,-1.45156
11,72,218,65487,16024.2,14734.7,1.12146,-3.59646,1.92078,-1.66833,-3.68785,-7.75004,-1.80904
12,78,722,63391,17650.8,15653.1,1.185,-4.47682,2.1795,-1.73921,-4.03796,-8.20428,-3.15749
13,84,191,56403,18704.9,16958.3,1.12174,-3.91168,1.57818,-1.71405,-4.27316,-6.82288,-3.23529
14,90,552,39862,13456.9,11825.4,1.18729,-4.44541,0.0583217,-2.25322,-4.78877,-7.83706,-3.84921
15,96,590,73881,16190.2,15650,1.11123,-4.84354,0.957021,-2.04971,-4.85121,-7.25336,-3.71624
16,102,549,52069,15695.7,12347,1.01686,-4.03792,0.0804253,-1.70202,-4.74977,-6.50064,-3.12919
17,108,209,56948,16762.3,16779.6,0.941738,-3.87853,-0.112552,-1.06547,-4.80165,-6.9799,-2.84849
18,114,648,66936,19826.4,15905.8,0.936896,-3.52022,0.449247,-1.69945,-5.23724,-8.33841,-2.2459
19,120,180,98638,28814.9,27783.7,1.02114,-3.64393,0.480804,-1.86025,-6.34089,-10.1686,-3.00207
20,126,1099,74662,15404.6,15767.6,1.12587,-3.43604,1.77908,-2.11124,-6.23235,-11.2577,-3.22939
21,132,553,180043,24311.2,40719.3,1.07893,-3.27471,1.18358,-2.40789,-5.51667,-9.98506,-3.59209
22,138,877,66684,18087.9,16596.5,1.01612,-3.59494,1.30461,-2.82373,-4.78973,-9.2963,-3.79729
23,144,559,97304,17316.7,19685,1.01929,-4.47009,0.308394,-2.52283,-4.42588,-9.68547,-4.4431
24,150,182,32992,9182.77,8675.7,0.993707,-3.92845,-0.0445521,-2.48382,-4.49897,-10.2247,-4.53508
25,156,404,32517,12246.5,9161.67,0.932202,-3.82104,1.1524,-2.73749,-4.80253,-10.8937,-4.71903
26,162,512,34935,9594.6,9413.85,0.955262,-3.629,1.92152,-2.14523,-3.71942,-10.4376,-4.33595
27,168,673,30890,8934.3,7345.97,1.01031,-3.79948,1.5139,-1.41437,-2.88078,-10.4131,-4.10884
28,174,163,48890,12972.5,11790.5,1.15063,-5.03962,2.45121,-2.18834,-2.87392,-12.3912,-3.97815
29,180,1418,70635,19625.3,17022.8,1.04597,-4.31653,1.70466,-2.23049,-3.54371,-11.1481,-3.62728
30,186,652,102944,23331.7,24256.4,1.02657,-4.28533,1.72441,-2.39482,-4.64229,-10.9808,-2.76769
31,192,354,73451,20926.4,20058.8,1.05517,-4.20593,1.16594,-2.7586,-5.5825,-10.1848,-2.43271
32,198,735,52234,14097.1,13251.7,1.09058,-3.96684,1.84599,-3.13178,-4.93719,-9.60411,-1.68544
33,204,199,48764,8555.87,11377.6,1.05931,-4.3946,1.13524,-2.9906,-5.08425,-9.9935,-1.60389
34,210,2959,44443,12395.2,10390.2,0.993238,-4.1377,0.542081,-2.6387,-4.4438,-10.649,-1.89627
35,216,530,70894,19962.6,22217.3,0.908166,-4.86104,1.06226,-2.15249,-4.14285,-10.3254,-2.53709
36,222,1204,55784,19261.5,15832.8,0.852286,-4.85618,1.46835,-1.76453,-3.63053,-10.4494,-2.44978
37,228,2272,50709,14089,11090.5,0.803217,-4.51214,1.39691,-1.81665,-3.65828,-11.3822,-3.12869
