generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
1288,7734,474,109702,23250.8,22706.2,0.0188871,-2.27152,2.41712,-1.6632,-5.95558,-4.1679,-2.17664
1289,7740,172,88269,28571.2,25180.8,0.0200786,-2.27781,2.40858,-1.66428,-5.95672,-4.14956,-2.1814
1290,7746,231,148443,30629.2,34069.4,0.0198183,-2.2832,2.40116,-1.66513,-5.95738,-4.13321,-2.18533
1291,7752,1457,118516,30150,28369.6,0.0200966,-2.28876,2.39334,-1.66592,-5.95764,-4.11554,-2.1892
1292,7758,63,59236,16753.6,16215.1,0.0205133,-2.29121,2.38977,-1.66618,-5.95737,-4.10704,-2.19075
1293,7764,36,114253,24657.2,26800.1,0.0211874,-2.29436,2.38556,-1.66677,-5.95812,-4.09826,-2.19321
1294,7770,738,117551,22492.4,24036.4,0.021339,-2.29486,2.3849,-1.66688,-5.9583,-4.09697,-2.19362
1295,7776,2941,81185,27160.7,19639.8,0.0207917,-2.29423,2.38522,-1.6664,-5.9566,-4.09568,-2.19248
1296,7782,2005,144865,35484.8,35073.7,0.0223054,-2.2951,2.384,-1.66655,-5.95666,-4.09301,-2.19316
1297,7788,808,69575,22675.5,17324.6,0.0212566,-2.29312,2.38639,-1.66597,-5.95539,-4.09691,-2.19124
1298,7794,432,133777,22868,28999.6,0.0255548,-2.28929,2.39159,-1.66535,-5.95474,-4.10821,-2.18849
1299,7800,1311,87720,23860,18907.1,0.0321555,-2.30175,2.37432,-1.66727,-5.95601,-4.0699,-2.19752
1300,7806,801,94714,26481,27452.8,0.0428081,-2.30189,2.37388,-1.66719,-5.95538,-4.06827,-2.19751
1301,7812,2475,104320,34708.2,27780.2,0.0502456,-2.29326,2.38517,-1.66546,-5.95262,-4.09125,-2.19051
1302,7818,1104,64694,22613.5,18311.9,0.0567277,-2.27541,2.40925,-1.66227,-5.9489,-4.14226,-2.17694
1303,7824,158,98685,24680.9,23237.1,0.0568556,-2.26081,2.42989,-1.66024,-5.94856,-4.18925,-2.16679
1304,7830,852,150339,32905.9,34111.7,0.058108,-2.27157,2.41337,-1.66069,-5.94476,-4.14635,-2.17238
1305,7836,158,155369,30701.2,31068.1,0.0525429,-2.26794,2.41992,-1.66129,-5.94906,-4.16689,-2.1719
1306,7842,1475,113284,38769.8,31069.3,0.0471289,-2.28236,2.39997,-1.6635,-5.95055,-4.12266,-2.18228
1307,7848,568,94228,21643.3,23235.1,0.0444261,-2.28184,2.40172,-1.66418,-5.95361,-4.13049,-2.18328
