generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,0,5,0.666667,1.02833,0.988211,0.0864353,-0.360067,1.39712,0.678452,-0.647999,-1.31555
1,12,0,6,1.5,1.81469,1.03111,0.270633,0.204464,0.946021,-0.392102,-0.837281,-2.82501
2,18,0,8,2.53333,1.94286,1.05241,-0.468769,0.86603,1.01745,0.600439,-0.863724,-3.2514
3,24,4,26,15.7333,4.89851,1.0704,-0.980702,0.144958,0.112511,0.541539,-1.89318,-3.4664
4,30,5,28,13.7333,5.56425,1.16026,-1.79845,-0.238791,0.373673,0.361228,-2.17721,-5.13864
5,36,16,119,45.8,21.0441,1.33667,-3.41525,0.251653,-0.972172,0.171659,-3.38439,-5.39966
6,42,42,286,133.533,60.5707,1.47883,-4.04319,-0.824755,-1.51705,-0.210276,-4.052,-3.34739
7,48,42,495,162.6,96.8253,1.49124,-4.3083,-0.664908,-1.16147,-0.260759,-4.37487,-3.73297
8,54,80,3510,1729.07,870.593,1.72048,-6.24172,-0.273529,-1.5434,-1.78183,-6.81137,-3.06878
9,60,114,5268,1779.17,1561.91,2.14321,-8.60903,1.56349,-1.96862,-4.43645,-7.1232,-1.88911
10,66,235,12081,3378.73,3243.7,2.58443,-9.62292,2.40308,-3.69547,-6.64818,-9.18663,-1.69231
11,72,610,18490,5945.13,4706.68,3.01567,-12.1015,0.917624,-4.39446,-9.68724,-9.37281,-3.47397
12,78,354,32432,8575.8,7914.13,3.46202,-12.0606,0.367356,-6.5097,-12.1236,-12.597,-4.91423
13,84,133,4163,1677.3,1287.37,3.52318,-13.9212,-1.25898,-7.90263,-9.77609,-13.1481,-5.16094
14,90,2051,26317,10786.7,6478.26,3.5051,-13.108,2.71636,-6.13439,-12.8191,-13.2902,-6.52913
15,96,126,21892,3784.8,4141.51,3.60928,-10.2088,1.74352,-8.82349,-15.0212,-12.7903,-7.04205
16,102,29,3400,1114.3,873.942,4.06761,-10.4914,-0.424431,-13.8165,-17.5365,-13.8661,-9.62119
17,108,100,4320,1571.87,1254.86,4.75226,-15.1873,-3.17159,-14.7868,-22.0036,-18.7055,-15.9932
18,114,252,22638,5865.73,5781.2,5.35032,-15.6321,-2.56225,-14.0361,-28.9807,-16.4816,-12.4481
19,120,91,36355,12226.9,11412.9,5.58986,-24.047,-2.32819,-12.9026,-30.2569,-22.8037,-10.6275
20,126,276,16923,5186.4,4242.65,5.76666,-23.856,-2.87468,-20.3074,-35.0359,-25.3064,-13.4321
21,132,222,48362,13020.8,11061.3,5.74405,-29.1114,-2.56107,-17.2807,-35.3029,-31.5648,-11.5291
22,138,1164,30122,9723.1,7617.63,5.57349,-33.6294,-3.03805,-14.4935,-34.7086,-30.6848,-9.27306
23,144,108,47174,9600.97,10811.7,5.30874,-31.5178,-3.44895,-14.855,-40.1576,-32.1519,-9.29893
24,150,185,23949,5337.33,4895.83,5.10086,-31.711,-9.01898,-14.5496,-34.6376,-32.5983,-13.4827
25,156,314,37086,8168.07,7866.86,4.70143,-30.4847,-9.81568,-16.542,-37.5091,-32.9173,-13.3374
26,162,718,25607,7965.13,6409.14,4.41303,-35.0668,-6.74074,-17.1007,-39.9033,-38.5734,-10.1425
27,168,935,37120,11485.8,9771.83,4.48308,-28.7298,-1.28978,-13.0889,-41.0401,-35.6345,-9.95002
28,174,409,46544,11019.3,12893.9,4.5894,-34.3839,0.898998,-15.1126,-47.947,-38.2897,-10.2557
29,180,180,28656,9310,7971.45,4.40635,-31.7589,-1.95706,-20.4592,-48.5469,-37.6506,-12.6967
30,186,207,63273,14914.2,16356.6,4.65891,-27.6649,-0.360159,-21.5027,-49.6891,-40.4197,-17.0656
31,192,572,66799,22195.6,19591.1,4.77621,-30.5489,-0.147811,-21.6894,-51.1827,-44.2104,-20.1437
32,198,650,93237,22545,21637.6,4.51086,-35.9812,0.609459,-21.5363,-53.7386,-44.1955,-19.0719
33,204,561,39429,11687,8767.75,3.97568,-36.4166,-0.950852,-22.354,-50.1302,-41.5252,-14.4566
34,210,106,31354,7578.53,7284.46,3.76668,-36.6208,-0.068019,-21.6309,-49.0752,-41.5992,-9.38891
35,216,453,47635,11522.9,10387.2,3.63929,-29.4813,1.79615,-23.1351,-49.1337,-38.5157,-11.6266
36,222,1081,51774,10501.5,11290.8,3.61494,-25.3728,3.54282,-19.3195,-44.7945,-35.9167,-10.974
37,228,486,68656,19820.4,16743.2,3.44494,-25.8429,1.11848,-19.1001,-46.0573,-38.9371,-11.3928
38,234,177,28452,8098.4,7556.41,3.79813,-23.27,5.60287,-15.8246,-48.6292,-38.4832,-7.97971
39,240,136,48409,7854.13,9662.34,3.8195,-23.8925,6.63582,-17.5249,-51.1511,-37.988,-7.72383
40,246,45,31234,9232.27,9157.55,3.92012,-23.5319,7.93211,-20.5621,-55.0382,-37.0523,-7.77987
41,252,13,25700,9151.47,7419.65,3.92336,-25.8052,6.93204,-24.6109,-58.4527,-40.6854,-10.2437
42,258,592,43979,14737.7,11845.2,3.95356,-19.9149,6.24938,-23.2734,-56.0425,-39.1056,-15.0914
43,264,626,68523,17262.9,15671.1,4.11969,-15.3774,11.8679,-21.4958,-55.7991,-36.9429,-12.074
44,270,852,51778,17340.3,15082.2,4.3655,-15.0685,14.7907,-16.4965,-55.3798,-35.8547,-11.8669
45,276,2411,73611,21297.1,18896.6,4.66264,-12.3219,16.1321,-16.8055,-54.399,-38.1397,-16.0348
46,282,303,61445,16436.9,17926.2,4.58393,-12.953,17.1451,-15.2454,-53.1116,-37.2575,-14.3058
