generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,5,105,38.6,26.8965,0.973183,-0.741538,-0.175824,-0.149148,-0.991501,0.0345594,-1.57874
1,12,0,11,3.63333,3.51826,0.985084,-1.10173,-1.53422,0.453114,-1.22247,0.170371,-1.73303
2,18,25,167,70.2,38.0085,1.0194,-1.65666,-1.2374,0.16583,-2.64974,0.0480113,-1.83743
3,24,5,165,67.3667,37.9687,1.11453,-2.9777,-1.16446,0.113683,-3.16384,1.40095,-1.47398
4,30,122,1589,565.3,413.511,1.26615,-4.75232,-1.05666,-0.314019,-3.67065,0.191124,-2.70698
5,36,67,3394,1051.3,834.528,1.44743,-5.62071,-0.393147,-1.11724,-4.33401,-0.898949,-3.74469
6,42,280,20091,6168.2,5234.7,1.53973,-4.50151,1.08829,-1.58725,-4.93628,-1.48508,-2.90033
7,48,444,28555,8730.33,8151.3,1.59017,-4.46365,1.1415,-2.11895,-5.91593,-2.08984,-2.63123
8,54,396,109534,14936.4,20087.7,1.53844,-3.30098,0.412674,-2.27864,-5.18472,-2.80429,-1.72877
9,60,141,8603,2041.8,1747.58,1.48737,-3.61829,2.02188,-2.58187,-3.60132,-3.08709,-2.67701
10,66,263,63673,10910,12589.6,1.38508,-3.7016,2.25283,-1.9667,-5.42732,-2.74461,-3.27141
11,72,720,47471,16529,13163.6,1.27701,-3.4585,1.8682,-2.05637,-5.99853,-3.55882,-2.9723
12,78,1229,90700,18805.4,16357.5,1.2325,-4.5498,0.906097,-2.29295,-7.26927,-3.17664,-2.29175
13,84,646,113614,18777.4,21315.6,1.19044,-4.82624,1.32288,-1.74184,-8.06132,-2.76107,-2.17872
14,90,684,54587,16801.8,14350.5,1.09436,-4.84532,1.97934,-1.93092,-7.95313,-2.46832,-2.22589
15,96,736,48075,14271.1,11888.7,1.08931,-4.84097,2.57496,-2.86119,-8.8142,-2.16744,-2.87079
16,102,105,91514,13008.5,16834.5,1.0573,-4.043,2.58726,-2.13072,-8.88761,-2.14133,-1.6404
17,108,538,51493,16658.5,13681.4,0.996094,-3.97346,2.59809,-2.20238,-9.3622,-2.05224,-1.86625
18,114,169,56358,15789.7,14375.1,0.96964,-3.69,3.8107,-2.86727,-8.49492,-2.18102,-1.90645
19,120,853,50637,12131.2,11281.8,0.964146,-3.50584,4.30241,-3.15004,-8.53946,-1.91713,-2.40437
20,126,176,48502,11706.4,10372.3,0.99268,-3.20147,4.04331,-1.88739,-9.68465,-1.29766,-1.69588
21,132,892,79253,16416.3,19555,0.894135,-2.86828,3.38467,-2.23245,-8.95887,-1.37662,-1.75141
22,138,1172,65625,16471.3,14597.2,0.916971,-2.12307,2.11314,-2.09688,-8.09255,-0.93992,-1.13099
23,144,259,23007,6523.33,6214.72,1.00428,-1.91708,1.99129,-2.35928,-9.32089,-0.0427003,-0.696638
24,150,186,100344,23209.7,20004.7,0.90113,-3.96775,2.7586,-2.19535,-9.65974,-1.46731,-2.06997
25,156,445,68704,13968.2,15028,0.908275,-3.33889,2.03344,-2.03728,-10.1516,-0.0717664,-2.15312
26,162,821,61308,11940.5,12914.9,0.86521,-3.02818,1.64888,-2.09195,-9.77675,0.22226,-1.582
27,168,217,54454,10594.4,11522,0.879463,-2.71225,3.20676,-3.3261,-9.66265,-0.264775,-2.06277
28,174,245,52194,13907.9,14408.3,0.82039,-2.80012,3.5123,-3.11522,-9.46289,-0.740139,-2.37518
29,180,1214,56160,17964.8,13960.6,0.782436,-2.45119,3.46861,-2.78034,-9.27851,-1.42984,-2.48716
30,186,649,55270,16903.9,13735.3,0.722471,-2.96635,3.29905,-2.35033,-10.3914,-0.747794,-2.19869
31,192,168,88967,18896.5,21909.5,0.715367,-2.16542,3.43775,-1.94032,-9.92962,-1.09387,-2.25334
32,198,145,78799,22146.3,20493.1,0.615164,-2.60707,3.21857,-2.11918,-9.69968,-0.838043,-2.38344
33,204,368,64224,17662.2,18543.1,0.567985,-2.73489,3.14461,-2.38621,-9.53234,-1.19452,-2.87906
34,210,2232,66163,16072.2,16937.2,0.559034,-2.7788,3.52559,-2.46186,-10.0711,-1.3265,-3.27149
35,216,343,76248,15459.1,15479.6,0.544874,-2.79376,3.66941,-2.76876,-9.60868,-1.5536,-3.51243
36,222,809,68373,12811.6,14401,0.52037,-3.12354,3.83733,-3.00452,-9.68934,-1.66185,-3.61425
37,228,255,40030,10664,9595.55,0.513102,-3.6471,3.95289,-3.04568,-10.3135,-1.50242,-3.5305
38,234,31,55966,15160.5,13578.9,0.481215,-3.52772,4.09548,-2.79239,-10.4081,-1.29437,-3.29882
39,240,74,55616,17807.9,13646.8,0.481981,-4.03075,3.63979,-2.73957,-10.6569,-1.04139,-3.56874
40,246,65,50936,17338.2,14153.6,0.524982,-4.31579,2.90932,-2.30726,-10.8434,-0.978231,-3.4221
41,252,1276,68064,18482.8,16375.9,0.610092,-5.08866,2.78426,-2.43025,-11.7269,-1.11027,-3.72232
42,258,169,83112,20819.9,19180.6,0.601503,-4.6344,2.64147,-2.33509,-11.323,-0.988871,-3.55426
43,264,556,83975,18942.2,19604.3,0.549793,-4.58511,2.92405,-2.27487,-10.7634,-1.15462,-3.60809
44,270,167,119338,24580.6,30247.3,0.526084,-4.74187,2.3303,-2.17553,-11.2851,-0.928392,-3.32086
45,276,3339,84485,22871,21537,0.518341,-4.6422,2.76743,-2.8759,-11.4461,-0.947245,-3.57393
46,282,2084,38539,14190.6,9306.9,0.470521,-4.39751,2.90248,-2.60088,-11.2356,-0.977514,-3.82286
47,288,393,50761,16984.7,15268.1,0.423122,-4.55008,2.998,-2.79095,-11.4403,-1.04924,-3.87712
48,294,103,72178,19232.5,17869.2,0.394014,-4.44484,3.10367,-3.03548,-11.3195,-1.12795,-3.99214
49,300,222,52694,16440.1,13921.6,0.396211,-3.77502,2.77748,-2.65755,-11.0602,-0.762503,-3.52491
50,306,278,112960,22234.1,26038,0.390316,-3.94062,2.88232,-2.98898,-11.0409,-0.676864,-3.41208
51,312,464,144938,19124.3,29418.5,0.380729,-4.08354,2.82598,-3.17384,-11.2113,-0.98882,-3.5437
52,318,1136,57033,12799.3,11506.9,0.359403,-4.5016,2.57381,-3.01165,-11.194,-1.09416,-3.74038
53,324,543,79496,18422.2,19484.5,0.372201,-4.8376,2.19597,-2.69922,-11.4407,-1.03655,-3.96877
54,330,234,82892,15699.6,18698.5,0.36218,-4.66,2.21937,-2.9458,-11.666,-1.01103,-3.78624
55,336,899,52575,18050.3,15152,0.332167,-4.46152,2.29134,-2.82985,-11.5727,-1.06413,-3.68458
56,342,1004,82619,15175.7,15359.9,0.315823,-4.4655,1.99544,-2.67607,-11.4958,-1.0217,-3.59067
57,348,1463,72988,25894.5,17050,0.318656,-4.32167,1.99993,-2.49525,-11.3222,-1.16702,-3.49303
58,354,213,49885,18313.9,14597.7,0.269872,-4.46133,2.09742,-2.62338,-11.4847,-1.07682,-3.6217
59,360,138,105902,25501.1,27269.7,0.239545,-4.37335,2.2427,-2.76879,-11.5713,-1.09409,-3.59937
60,366,1640,90115,18819,20623.3,0.239259,-4.47537,2.42779,-2.6666,-11.7199,-1.15294,-3.62701
61,372,396,57961,24916.6,17777.2,0.238636,-4.44109,2.40126,-2.5358,-11.544,-1.28433,-3.64661
62,378,1119,91010,26981.5,25028.8,0.261915,-4.47183,2.5954,-2.38991,-11.6801,-1.23434,-3.64593
63,384,557,165796,17675.5,29736.5,0.274817,-4.2577,2.73012,-2.43329,-11.5899,-1.3239,-3.68248
64,390,778,65419,16654.3,16249.9,0.258057,-4.37135,2.6719,-2.55466,-11.6506,-1.35064,-3.80033
65,396,483,91388,23188.9,24573.2,0.260069,-4.38254,2.79169,-2.67368,-11.8713,-1.28842,-3.59886
66,402,1020,47781,17608.2,14438.7,0.252089,-4.46269,2.62945,-2.75724,-11.9522,-1.12844,-3.5665
67,408,451,95884,21115.3,22879.5,0.240796,-4.39762,2.65495,-2.79557,-11.8821,-1.07898,-3.46647
68,414,263,105249,23784.5,30918.4,0.235776,-4.35779,2.71654,-2.77299,-11.8995,-0.937927,-3.4512
69,420,111,87881,17716.3,20788.8,0.238579,-4.11495,2.6732,-2.83702,-11.8278,-0.862007,-3.3145
70,426,355,123363,25656.3,27849.4,0.204795,-4.34029,2.6602,-2.75245,-11.8978,-1.01971,-3.40551
71,432,1033,80823,19287.6,19287.5,0.185855,-4.5058,2.61695,-2.79517,-11.8748,-1.09834,-3.5175
72,438,146,129710,27955.5,34622.4,0.169322,-4.29725,2.70355,-2.77026,-11.8306,-1.05632,-3.35437
73,444,858,103066,31934.9,31635.2,0.164366,-4.32594,2.64299,-2.63315,-11.9252,-1.03018,-3.31613
74,450,449,75859,11501.2,14505.4,0.137707,-4.31887,2.63834,-2.72143,-11.8751,-1.03646,-3.35001
75,456,44,104453,19212.6,19678.4,0.129061,-4.48027,2.60528,-2.72013,-11.9508,-1.07019,-3.37999
76,462,1175,131768,21511.4,28363.5,0.122186,-4.50201,2.68015,-2.70738,-11.9924,-1.03905,-3.43307
77,468,374,60142,17569.7,15333.6,0.107622,-4.51151,2.65474,-2.70385,-11.9746,-1.07036,-3.41669
