generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,5,1.83333,1.80198,5.60082,-2.016,-2.51434,-0.535305,-0.73345,-3.66845,-0.577347,2.74101,-0.993585,1.56831,2.70002,-3.61306,-7.22895,-8.52692,0.936869,-4.59427,1.29357,1.15755,2.25212,-3.72544,0.451855,-2.83055
1,200,1,15,5.23333,3.30812,-0.725368,-0.57798,-2.96087,-2.61594,2.7807,-3.85123,-0.997897,-0.196863,-3.52545,-5.76893,1.87301,0.945476,-12.9551,-8.93977,-1.41275,-9.42758,-1.10378,-2.63643,5.55109,-4.25951,-0.0712641,-9.98939
2,300,8,90,44.6,22.6938,3.18231,-0.699167,-7.34659,-1.4545,1.42718,-3.69826,-1.2665,0.592555,1.75457,-2.76329,0.799387,1.30098,-15.6768,-8.26766,0.402454,-11.0167,-1.68504,-2.63788,-0.587528,-4.64062,-15.4949,-24.4563
3,400,17,106,48.7,19.7801,0.394744,-2.01865,-9.56919,-5.36552,1.55863,-3.72933,-2.40816,-0.389949,3.93125,-2.3384,1.4338,-2.32419,-16.01,-8.76886,-1.18458,-8.22347,-1.65892,-4.65255,-2.66991,-7.48376,-25.4179,-25.2569
4,500,15,74,43.1667,13.6838,-2.41117,3.01182,-5.33831,-8.07268,0.335324,-5.92908,-2.92905,-0.989271,2.0045,-3.76065,1.90002,-3.06718,-17.0092,-7.5152,-6.70123,-7.5766,-1.82466,-10.9309,-5.50607,-9.40557,-33.6142,-27.0441
5,600,28,172,71.1667,37.5978,-7.64589,3.12665,-4.96301,-8.6515,1.28108,-6.45302,-4.10417,-0.472625,2.64764,-3.76624,-0.0710911,-2.35548,-11.3994,-7.62004,-5.54297,-9.21955,-4.08723,-10.3234,-8.74288,-11.1259,-30.938,-33.297
6,700,7,215,76.3333,50.0691,-7.44092,2.44476,-2.45952,-6.84214,-0.7025,-4.26004,-3.32311,-2.78198,1.98035,-5.20386,-2.04602,-2.86289,-9.54659,-7.6493,-7.70718,-10.8423,-5.10491,-14.7316,-9.50521,-9.94203,-28.4448,-32.8136
7,800,36,243,100.267,48.3728,-11.4799,3.93508,-4.84836,-6.74151,-3.3234,-4.94241,-4.51194,-0.935038,0.915824,-7.0596,0.696634,-5.61893,-11.2578,-9.88033,-8.19945,-10.1798,-5.05419,-10.5808,-11.3905,-9.67871,-25.9609,-34.6836
8,900,40,163,90.9667,37.0791,-10.4158,4.70781,-9.84407,-7.98588,-7.54377,-7.04606,-5.82714,-3.77927,0.106039,-7.16815,1.07509,-5.88746,-12.4697,-10.2993,-6.65672,-10.5859,-4.81635,-12.564,-11.6313,-11.8563,-25.3075,-37.2794
9,1000,38,232,95.5667,46.0462,-13.2331,4.2796,-10.9629,-6.70249,-6.30076,-6.84833,-4.69875,-2.87322,-0.908231,-8.00846,2.52486,-7.36974,-13.666,-9.5172,-8.42422,-9.39433,-4.48201,-12.8042,-11.371,-10.0312,-23.6995,-38.4243
