generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
56,5700,44,1503,305.3,321.408,11.0481,-1.77712,-15.8143,-7.27108,-17.2654,-4.52424,-13.8532,-12.3038,-8.24617,-14.2315,-2.35637,-15.963,-6.8299,-15.747,-12.9785,-10.4115,-10.4866,-7.53015,-8.43235,-11.5289,-6.59067,-52.8813
57,5800,62,492,257.233,135.337,11.0236,-2.06228,-15.7398,-7.46161,-17.4503,-4.47264,-13.8244,-12.4984,-8.2249,-14.2402,-2.67211,-15.8669,-6.91293,-15.633,-13.407,-10.5362,-10.465,-7.20963,-8.52524,-11.4907,-6.24959,-53.0894
58,5900,80,1143,305.267,262.976,10.849,-2.01026,-15.6926,-6.5103,-17.4556,-4.54739,-13.6642,-12.4325,-8.20578,-14.3606,-2.69083,-15.8065,-7.21573,-15.2696,-13.3148,-10.388,-10.4674,-7.33299,-8.45368,-11.6,-6.23094,-53.1133
59,6000,43,1352,341.667,280.435,10.751,-1.69641,-15.5652,-6.67776,-17.4961,-4.46661,-13.3283,-12.3532,-8.20198,-14.3449,-2.59868,-15.8693,-7.54387,-15.3747,-13.4397,-10.3374,-10.4486,-7.07459,-8.54618,-11.5517,-6.23581,-53.1025
60,6100,79,1203,376.333,311.526,11.2324,-1.31636,-15.3694,-6.80872,-17.458,-4.38721,-13.4022,-12.3592,-8.23841,-14.3626,-2.55479,-15.7898,-7.39613,-15.3079,-13.6222,-10.3771,-10.4601,-7.59986,-8.41413,-11.3667,-6.19468,-53.0985
61,6200,57,1489,336.267,258.772,11.4782,-1.00002,-15.6825,-5.79383,-17.4737,-4.31304,-13.386,-12.4133,-8.24288,-14.3637,-2.4756,-15.7186,-7.85763,-15.4043,-13.6214,-10.7861,-10.4466,-7.64802,-8.40421,-11.3126,-6.42136,-53.0923
62,6300,4,744,296.633,185.915,11.3153,-1.00653,-15.23,-5.95018,-17.4659,-4.19455,-13.4988,-12.5438,-8.23743,-14.3545,-2.36724,-15.7293,-7.66169,-15.413,-13.3998,-11.2911,-10.4225,-7.58518,-8.27512,-11.3095,-6.54884,-53.0872
63,6400,54,885,263.633,206.365,11.4323,-1.0522,-15.352,-6.7869,-17.4561,-4.13698,-13.493,-12.3979,-8.24175,-14.3173,-2.24531,-15.763,-7.58771,-15.2603,-13.3016,-11.1304,-10.4322,-7.64729,-8.30992,-11.3165,-6.60794,-53.0925
64,6500,35,1047,354.567,246.271,11.2309,-0.993643,-15.4023,-6.8385,-17.4555,-4.06769,-13.6507,-12.4878,-8.23799,-14.2825,-2.11532,-15.7841,-8.22443,-14.7651,-13.302,-11.0693,-10.3771,-7.69084,-8.30983,-11.3147,-6.84903,-53.1217
65,6600,55,1490,338.3,276.99,10.8898,-1.1852,-15.4512,-6.97731,-17.4415,-4.04264,-13.7823,-12.4971,-8.23437,-14.2631,-2.00568,-15.7013,-8.19018,-14.3656,-12.8932,-10.9703,-10.3586,-7.82432,-8.24659,-11.3034,-6.85367,-53.0906
