generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,6,42,22.1333,8.86579,-1.65034,-2.00329,-4.16232,-0.814303,-5.004,-0.148031,1.40895,0.295807,2.93312,-1.64548,0.739076,-2.98671,2.39297,-5.00287,-1.10039,1.27184,-1.68662,-3.269,2.12258,-4.10723,-10.3983,-13.0926
1,200,15,66,38.7333,13.8786,-3.98801,-2.93008,-8.90164,-0.0648071,-4.98524,-1.23552,2.4944,-1.58234,-0.708071,-2.29076,-0.384175,-3.43588,2.45779,-5.20685,-5.02284,-2.22488,-2.05833,-5.84573,-1.40233,-6.28038,-16.4949,-15.3724
2,300,11,92,53.6,20.2444,0.42563,-5.60432,-8.02955,-5.8776,-6.46591,0.225986,-0.306285,-1.30961,-3.09387,-3.08367,-1.64103,-3.95944,-0.624114,-5.94725,-4.65153,-2.21788,-1.01499,-11.3881,-1.99525,-10.2848,-16.5913,-16.7313
3,400,17,147,48.7,24.9981,0.105602,-7.25013,-7.41742,-8.35076,-4.18297,-2.89457,-2.43491,-2.7978,-6.27346,-2.71111,-6.88021,-4.64805,-3.84344,-6.75787,-6.09877,-3.63469,-1.93315,-11.8147,-2.79958,-9.72713,-17.8441,-16.9932
4,500,13,110,67.1333,24.9492,0.659277,-6.36964,-6.0755,-9.06754,-3.83471,-2.0459,-3.98635,-1.90681,-6.66093,-5.30189,-4.49182,-5.84964,-4.23577,-7.71664,-6.10852,-4.75786,-1.11332,-8.47383,-1.29793,-15.3831,-18.2259,-20.7328
5,600,29,138,75,28.8348,0.325007,-3.53864,-5.01837,-9.7337,-3.84106,-3.12455,-5.09594,-3.26575,-7.87258,-6.5852,-4.10715,-5.92826,-3.92131,-8.38075,-6.18524,-6.21683,-1.38603,-7.05107,-1.23131,-12.6777,-18.2154,-21.0637
6,700,23,111,70.3,25.9431,0.483815,-3.84558,-5.44762,-9.36893,-6.17263,-4.22703,-5.75979,-4.15851,-7.32047,-8.15711,-4.3289,-5.5025,-4.04174,-8.36356,-6.86606,-5.65236,-1.2574,-7.04761,-0.901841,-10.331,-16.8,-21.3667
7,800,33,226,87.6,45.6135,0.481621,-4.32781,-4.93899,-10.3312,-7.31054,-5.83871,-4.89727,-2.96839,-5.62092,-8.15191,-3.72363,-5.93952,-4.25414,-7.96251,-5.8453,-5.41474,-1.62793,-6.63138,-0.783548,-9.11186,-16.733,-24.2354
8,900,12,339,96.0333,71.3575,0.354414,-2.40493,-3.75301,-9.43545,-7.47345,-4.41688,-4.98532,-2.46804,-6.19114,-7.71666,-4.0748,-5.75868,-4.34434,-7.55162,-5.89678,-5.33193,-2.04967,-6.26851,-1.08609,-8.91973,-16.3785,-25.1496
9,1000,28,277,119.033,57.3245,0.125648,-1.39665,-3.82184,-9.05562,-7.0892,-4.3574,-4.54229,-1.86847,-5.9573,-7.96073,-3.67713,-5.77188,-4.48598,-7.34002,-6.00274,-5.16093,-2.05997,-6.21967,-0.697743,-8.66907,-16.1946,-26.9731
10,1100,30,223,104.667,55.6772,0.0439139,-1.5506,-3.62741,-9.70397,-7.23444,-5.35643,-3.90426,-1.65245,-5.88984,-7.41615,-3.55139,-5.72938,-4.7731,-8.85237,-6.0581,-5.07573,-1.82124,-5.4482,-0.675259,-8.65271,-15.9808,-27.6636
11,1200,5,277,119.4,76.7484,-0.0842049,-2.22421,-4.29829,-9.1635,-6.89124,-6.53447,-4.44481,-0.502984,-5.87919,-7.67222,-3.54991,-5.64489,-4.43628,-8.67692,-6.1488,-4.71036,-1.90027,-4.9457,-0.691988,-8.59241,-16.1398,-30.7647
12,1300,34,240,107.133,60.1714,-0.320754,-1.67788,-4.38485,-8.74172,-7.17033,-6.41607,-4.58082,-0.469464,-5.91082,-7.42251,-3.60223,-5.83783,-4.19214,-8.60063,-6.16578,-4.92775,-1.87745,-5.15889,-0.586122,-9.56862,-16.1026,-32.5392
13,1400,5,293,107.667,69.3026,-0.224635,-1.70712,-4.14178,-8.94426,-7.00063,-5.38134,-4.90727,-1.37015,-6.03295,-7.8232,-3.47327,-6.07635,-3.98296,-8.60554,-6.02767,-5.05918,-1.78258,-5.24396,-0.595911,-10.0037,-16.1421,-33.1567
14,1500,28,377,115.267,72.4135,-0.330871,-1.32955,-3.86217,-6.71406,-7.22419,-5.44,-4.9115,-1.41955,-6.10278,-7.85578,-3.42229,-5.85082,-3.75256,-8.60525,-6.06019,-5.02742,-2.36516,-5.08464,-0.852972,-10.0193,-16.4275,-33.4653
15,1600,24,258,109.8,50.7566,-0.381441,-1.20573,-3.42185,-5.27237,-6.92804,-5.21434,-5.02154,-1.5273,-6.19308,-7.64767,-3.53301,-5.82698,-3.59268,-8.22013,-6.17744,-4.92842,-2.56574,-5.59742,-0.739282,-10.3675,-16.5924,-34.1203
