generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,9,3.33333,2.53708,0.922412,-0.0765613,-0.141383,-0.664876,-0.440493,0.885926,-0.528795,-0.351881,-0.858408,0.290743,-0.163342,0.203976,-0.168908,0.0467857,-0.58777,-0.373418,-0.0653579,-0.360184,0.0618143,-0.10312,-0.603607,-0.0798771,-0.504614
1,26,0,13,4.56667,2.97905,0.882579,-0.280995,0.296409,-0.77252,-0.604988,1.44089,0.00652811,-0.139094,-0.048175,0.406829,-0.770493,0.297972,-0.0196905,-0.879639,0.101031,-0.182568,-0.0487179,-0.0490534,0.297653,-0.642734,-1.36521,-0.411538,-1.33782
2,39,7,61,27.8667,13.5995,0.867182,-0.442484,-0.106254,-1.25312,-0.456387,0.670112,-0.664699,-0.120503,-0.534741,0.564738,-0.643676,-0.430362,-0.622191,-1.10221,-0.328382,-0.205194,-0.0722807,0.418533,-0.430641,-0.0602749,-1.30686,-1.67774,-2.14358
3,52,4,72,32.7,17.0317,0.874919,-0.56737,-0.0853377,-0.888459,-0.751511,1.12487,-0.246834,-0.0776809,-0.458627,0.849286,-0.621203,-1.41209,-0.674161,-1.05653,-0.840739,0.248144,-0.925532,0.0773725,-0.733998,-0.376646,-1.49686,-2.30688,-2.70084
4,65,4,92,39.5333,22.8771,0.91096,-0.413147,0.23884,-0.490515,-1.72044,1.67386,-0.0400167,-0.386494,-0.871972,0.0787683,-0.752218,-0.798913,-0.328884,-1.26405,-1.05122,0.193454,-0.397034,0.43355,-1.35057,-0.804136,-1.85738,-3.45893,-3.39425
5,78,2,55,24.0667,15.9459,0.931599,-0.705643,-0.391051,-0.844072,-1.2509,1.62072,-0.340952,-0.0332124,-1.70241,0.336322,-0.902166,-0.680857,-0.269994,-1.13032,-1.28031,0.267124,0.0628183,0.478744,-1.5335,-0.981243,-2.87528,-3.26525,-3.40608
6,91,3,36,14.6667,7.80951,0.951263,-1.11114,-1.07471,-1.2067,-2.00433,2.15285,-0.0327999,-0.133792,-1.29116,-0.462997,-1.00767,-0.551906,-0.261399,-0.431227,-1.74982,0.324363,-0.642592,0.860206,-1.87748,-1.54215,-3.19785,-2.76825,-3.13651
7,104,1,33,15.2,9.39332,0.995048,-1.30542,-0.775186,-0.961176,-1.05367,2.49572,-0.661579,-0.802227,-1.5317,-1.55639,-0.682647,-0.762408,0.0493319,-0.237805,-2.02699,0.308873,-0.20672,1.28836,-2.2885,-1.40632,-3.92632,-3.83854,-4.10812
8,117,10,71,30.3333,14.7212,1.06458,-1.42814,-0.475816,-0.434155,-0.644795,1.72479,-0.724548,-0.87012,-1.83521,-2.20494,0.129447,-1.14836,-1.03151,-0.433497,-1.26312,0.315769,-0.309273,1.06774,-2.38305,-1.83462,-4.90284,-4.78129,-5.50422
9,130,5,42,21.9667,10.7975,1.0918,-0.867328,-0.0344825,-1.2862,-0.39028,1.15149,0.14417,-0.957738,-1.72864,-1.76814,0.0197574,-1.41481,-1.02495,-0.0182021,-1.24604,0.681918,-1.01429,1.34196,-2.55277,-1.49361,-4.34835,-5.02382,-5.49235
