generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,104,9014,2278.53,1902.61,-5.9343,10.209,-4.98547,-8.47852,-6.31594,-5.62082
1,200,107,27253,6530.53,7100.18,-12.8823,12.5254,-7.13646,-17.3045,-13.1591,-9.58047
2,300,861,40353,12201.9,10575.1,-10.8144,13.9527,-7.72608,-20.0783,-12.2377,-7.00793
3,400,311,69069,23447.1,18617.6,-10.9826,13.5418,-8.40159,-22.6091,-15.2622,-7.25084
4,500,3986,80358,23560,21193.6,-11.9693,11.5688,-8.49508,-21.3361,-16.4141,-8.03448
5,600,102,100391,19729.1,19700.6,-12.3722,11.8686,-8.3155,-22.7145,-17.6974,-7.95652
6,700,434,103424,26934.9,29677,-12.1525,10.6062,-8.85819,-22.4033,-19.4076,-8.09427
7,800,423,163739,35967.7,37550.4,-12.1879,10.6017,-8.81076,-23.2571,-19.7388,-8.72499
8,900,1629,114650,29214.9,26967.1,-12.0688,11.0214,-8.65351,-22.6427,-20.8199,-8.68856
9,1000,1449,78934,25592.8,19118.3,-12.5531,11.4356,-8.7629,-22.9177,-20.9919,-8.95902
10,1100,950,126578,31134.6,32794.8,-12.8764,10.1902,-8.69022,-23.4749,-21.135,-8.90103
11,1200,225,164489,31231.2,34953,-12.7851,9.89545,-8.54178,-23.4762,-21.4043,-9.00574
12,1300,723,102102,28914,31195.9,-12.6619,8.58553,-8.577,-23.3251,-21.1824,-9.09883
13,1400,2051,121479,26782.3,27929.8,-12.6324,7.58043,-8.60672,-24.0413,-20.9474,-8.95965
14,1500,302,258067,39693.1,47351.4,-12.6935,7.64534,-8.46414,-24.4789,-21.6106,-9.13174
15,1600,348,167936,35089.6,35586.6,-12.1571,8.31398,-8.14861,-24.2616,-21.2253,-9.29139
16,1700,1180,113982,34897.8,30306.3,-12.2421,7.72636,-8.33893,-24.0141,-21.0962,-9.34066
17,1800,148,187738,31529,36505.5,-12.0855,7.59408,-8.43825,-23.5731,-21.947,-9.36209
18,1900,829,115391,28326.7,31383.6,-11.957,8.35243,-8.48002,-23.5642,-21.7811,-9.32881
19,2000,400,94136,36685.9,26251.5,-11.6843,8.24259,-8.50749,-23.2793,-21.367,-9.31967
20,2100,797,133646,24876.3,27542,-11.9135,8.21678,-8.47874,-22.9672,-21.8594,-9.3123
21,2200,5004,141390,38593.8,36774.6,-11.7945,8.16709,-8.56291,-23.3834,-20.7902,-9.32347
22,2300,474,95338,28811.8,23786.5,-11.7675,8.34612,-8.59025,-23.3999,-21.2541,-9.37171
23,2400,132,184811,35735.2,40072.4,-11.5702,8.40492,-8.62535,-23.0776,-21.3558,-9.41431
24,2500,949,85490,25524,21183.3,-11.6287,8.38928,-8.57772,-22.9381,-21.2495,-9.46065
25,2600,581,120482,29960.9,26808.8,-11.6443,8.41784,-8.57965,-22.9157,-21.2046,-9.44014
26,2700,272,77965,23651.2,22951.1,-11.6797,8.46558,-8.55108,-22.7419,-21.0644,-9.45019
27,2800,1037,253928,28612.9,45445.4,-11.711,8.46076,-8.54638,-22.6231,-21.1902,-9.41097
28,2900,1370,190726,24744.6,36436.9,-11.7064,8.31726,-8.55035,-22.3247,-21.3816,-9.41261
29,3000,935,100196,33186,24080.8,-11.604,8.49288,-8.54714,-22.3055,-21.435,-9.41998
30,3100,2499,185072,38375.3,49570.7,-11.6624,8.78418,-8.53936,-22.3377,-21.5631,-9.42954
31,3200,874,122530,30543.4,30678,-11.6854,8.93473,-8.583,-22.367,-21.5374,-9.42486
32,3300,430,123304,32925.8,32237.2,-11.6967,8.97284,-8.48797,-22.3158,-21.7188,-9.41219
33,3400,2968,93924,32473.5,23149.8,-11.7139,8.87824,-8.4874,-22.3374,-21.6866,-9.40629
34,3500,708,190126,27880.9,39197.8,-11.7326,8.90625,-8.49682,-22.2533,-21.6655,-9.40228
35,3600,1431,195668,39697.4,38592.1,-11.7401,8.90056,-8.50983,-22.1144,-21.6513,-9.40236
36,3700,872,77652,26120.7,18111.4,-11.7396,8.9433,-8.50345,-22.0933,-21.617,-9.40126
37,3800,352,72220,25644.6,22591.2,-11.7271,8.92555,-8.51085,-22.1086,-21.5823,-9.40591
38,3900,255,88080,24987.1,23598.1,-11.7282,8.86457,-8.50978,-22.1219,-21.5689,-9.40645
39,4000,482,120246,27269.8,30528.7,-11.7148,8.79825,-8.50941,-22.2933,-21.5855,-9.40405
40,4100,1777,107277,32840.4,23144.5,-11.7216,8.79026,-8.50936,-22.2666,-21.605,-9.4008
41,4200,1668,97090,24118.8,21957,-11.7132,8.79455,-8.49504,-22.1769,-21.6296,-9.39943
42,4300,1048,131522,42034.7,33975,-11.7071,8.78044,-8.48207,-22.1733,-21.6529,-9.39995
43,4400,321,241196,23190.7,46009.9,-11.7066,8.79791,-8.47848,-22.2843,-21.6423,-9.40053
44,4500,411,140357,32719.7,31625.8,-11.7072,8.82432,-8.47723,-22.229,-21.6323,-9.4019
45,4600,540,92052,24281.7,24794,-11.7124,8.7908,-8.47742,-22.2262,-21.6374,-9.39879
46,4700,553,131097,33668.3,31980.4,-11.7127,8.78607,-8.47594,-22.26,-21.6212,-9.40029
47,4800,110,108628,32853.4,29066.9,-11.7117,8.80393,-8.48542,-22.2724,-21.6275,-9.3986
48,4900,2127,132716,32483.6,31041.3,-11.7083,8.79749,-8.4773,-22.263,-21.6407,-9.39747
49,5000,1195,168200,36313,34732.7,-11.7098,8.8061,-8.47533,-22.2767,-21.6521,-9.39942
50,5100,331,97703,25403,24447.9,-11.7065,8.80241,-8.4765,-22.2511,-21.6453,-9.397
51,5200,1350,139808,37552.5,40127.2,-11.7069,8.80532,-8.47599,-22.2406,-21.6265,-9.39798
52,5300,66,142505,31766.3,33510.7,-11.7061,8.79022,-8.47518,-22.2514,-21.6251,-9.39772
53,5400,423,92099,26921.4,22040.5,-11.7053,8.79485,-8.47628,-22.278,-21.6223,-9.39988
54,5500,1611,121097,24537.5,30060.3,-11.7047,8.79199,-8.47579,-22.308,-21.6249,-9.39833
55,5600,540,84113,26888.5,25730,-11.7052,8.79763,-8.47636,-22.3149,-21.6194,-9.39873
56,5700,1988,145764,26807.5,33367.7,-11.7063,8.80127,-8.47706,-22.3108,-21.6183,-9.39884
57,5800,846,179413,36150.6,40786.9,-11.7059,8.80292,-8.47691,-22.3156,-21.6196,-9.39807
58,5900,194,120522,35100.8,31072.9,-11.7056,8.80211,-8.47646,-22.3199,-21.6213,-9.39886
59,6000,172,157172,40501.3,45444.6,-11.7053,8.80005,-8.47644,-22.3235,-21.6226,-9.39894
60,6100,1162,153305,27224,29446.9,-11.7051,8.798,-8.47708,-22.3186,-21.6225,-9.3992
61,6200,473,101037,26664,26342.9,-11.7055,8.80021,-8.47713,-22.3176,-21.6218,-9.39792
62,6300,685,87540,29595.8,27073.7,-11.7057,8.80087,-8.4764,-22.3175,-21.6216,-9.39775
63,6400,229,113160,30296.5,23908.1,-11.7058,8.80104,-8.47524,-22.316,-21.6206,-9.3983
64,6500,592,165299,30641.4,32903.3,-11.706,8.80141,-8.47503,-22.3169,-21.6198,-9.39764
65,6600,735,161466,24773.7,33606.9,-11.7062,8.80143,-8.4751,-22.3188,-21.6197,-9.39759
66,6700,3700,114199,30903,26095.9,-11.7061,8.80359,-8.47264,-22.3198,-21.6194,-9.39851
67,6800,1624,102867,34900.1,24656.8,-11.7062,8.80296,-8.47143,-22.3209,-21.6194,-9.39787
68,6900,1305,118054,27447.5,27977,-11.7062,8.8014,-8.471,-22.3203,-21.6198,-9.39654
69,7000,1321,92345,26937.6,23067.7,-11.7065,8.80086,-8.47239,-22.3193,-21.6209,-9.39651
70,7100,1662,100534,26576.9,23608.2,-11.7064,8.79897,-8.47303,-22.3195,-21.6202,-9.39657
71,7200,605,62277,26017,19328.4,-11.7065,8.79915,-8.4736,-22.321,-21.6201,-9.39749
72,7300,852,105226,29289.1,27022.6,-11.7068,8.79898,-8.47419,-22.3217,-21.6201,-9.39737
73,7400,506,177934,39398.4,47262.3,-11.7069,8.79918,-8.47489,-22.3222,-21.6196,-9.39717
74,7500,1261,61843,25038.8,18743.9,-11.7072,8.79943,-8.47369,-22.3226,-21.6193,-9.39728
75,7600,3101,103471,30276.6,27087.6,-11.7071,8.79894,-8.47451,-22.3212,-21.6191,-9.39742
76,7700,1915,102576,34236.5,24133.7,-11.707,8.7986,-8.47365,-22.3203,-21.6186,-9.39722
77,7800,377,117685,26128.4,26391.5,-11.707,8.79824,-8.47363,-22.3204,-21.6186,-9.39747
78,7900,795,67875,24066.7,19399.7,-11.7073,8.79803,-8.47395,-22.3197,-21.6184,-9.39716
79,8000,2951,154580,30210.6,33195.5,-11.7073,8.79804,-8.47454,-22.319,-21.6182,-9.39706
80,8100,230,72726,22642.9,19991.2,-11.707,8.7976,-8.47251,-22.3178,-21.6187,-9.39699
