generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,1,0.0666667,0.253708,0.946918,-0.217984,0.409026,-0.63839,0.67735,0.0876881,-0.692963,1.04554,-0.447882,0.0289557,-0.449351,-0.31465,0.442478,-0.0883482,0.881562,-0.881846,0.393403,0.461282,-0.603699,-1.22035,-0.219082,0.110287,0.257372
1,26,0,2,0.166667,0.461133,0.897105,0.260196,0.449085,-0.0796169,0.802731,-0.38403,-0.682168,0.807582,-0.0690723,-0.156624,-0.432349,-0.188632,0.524929,-1.62252,-0.683871,0.0141921,0.0155698,0.0475446,-0.660112,-1.07525,0.0555624,0.190354,-0.563269
2,39,0,3,0.4,0.813676,0.863693,0.108322,-0.0392766,0.0519777,0.910319,-0.0977771,-0.221826,0.678008,-0.210727,-0.463133,0.122757,-0.184338,0.2917,-2.15939,-0.713315,0.329578,0.654432,-0.389963,-1.27261,-0.322403,-0.417561,0.321613,-1.21214
3,52,0,3,0.233333,0.678911,0.84313,0.119415,0.191475,0.0623016,1.36615,-0.480745,0.155334,0.556708,-0.129905,-0.753205,0.273357,0.422291,0.3002,-2.46413,-0.933046,0.195933,0.840538,-0.477035,-1.30394,-0.360096,0.124793,-0.0101501,-1.82065
4,65,0,15,6.7,4.16181,0.818541,-0.824076,0.157195,0.102635,0.948477,-1.21133,0.34173,0.767942,0.226345,-0.666172,-0.0628275,-0.101512,-0.362797,-2.46787,-1.18914,-0.862284,0.173021,-0.789755,-1.22205,-0.40747,-0.314608,-0.336949,-1.22559
5,78,0,17,6.83333,4.42628,0.811501,-0.588235,-0.153961,-0.341249,0.521148,-0.998619,-0.0476824,0.919604,-0.184061,0.0429565,-0.412488,0.260518,-0.73281,-2.78853,-2.23524,-1.22838,0.063707,-0.70814,-0.990198,-0.405577,-0.0982476,-0.35557,-2.00712
6,91,3,26,11.1,5.79149,0.813431,-0.880282,0.00803523,-0.966126,0.761085,-1.14566,0.0832922,1.24046,-0.735299,0.229282,-0.211826,-0.0927552,-0.721713,-2.38905,-2.32751,-1.61087,0.0255102,-1.11674,-1.27039,0.0632585,-0.519797,-1.15955,-2.25786
7,104,11,105,38.3667,19.7231,0.833734,-0.764888,0.119846,-0.964191,1.01202,-2.01913,-0.382025,1.30876,-1.28312,-0.245679,-0.687971,-0.177679,-0.911847,-2.10415,-2.6477,-1.50952,-0.713693,-0.959961,-1.98877,-0.144106,-0.514792,-1.69586,-2.78249
8,117,16,69,39.7333,13.5543,0.859287,-0.343981,0.480066,-0.740764,0.792016,-1.96712,-0.677077,0.97498,-2.05696,-0.343025,-0.732986,-0.265151,-1.13905,-2.40956,-2.86927,-1.78671,-0.373033,-1.69147,-1.50397,0.0897199,-0.92753,-2.40963,-2.92591
9,130,9,68,34.0667,14.5316,0.864811,-0.373591,0.752263,-0.150289,0.312806,-1.60314,0.0863323,0.520862,-1.71732,-0.893144,-0.588698,-0.0282354,-0.100564,-2.2627,-2.6194,-2.29458,-0.336437,-1.67198,-1.06186,-0.856765,0.121989,-2.92859,-2.84882
10,143,11,120,53.6333,27.3691,0.873982,0.822875,0.56559,-1.14021,0.265315,-2.18514,-0.687378,-0.334712,-1.86488,-0.540892,0.10981,0.317462,0.0539843,-2.34515,-2.15445,-1.8965,-1.1741,-0.698617,-0.745197,-0.824049,-0.278511,-3.00648,-3.128
11,156,7,68,37.7333,14.1931,0.908879,1.46885,1.15324,-0.86671,0.230804,-2.6954,-0.0983207,-0.934283,-1.4705,-0.779349,1.15199,1.02941,0.47635,-2.01968,-1.8839,-2.27087,-1.42422,-0.751141,-1.1031,-1.08582,0.0343042,-3.47324,-3.32116
12,169,9,56,29.5,12.2749,0.952146,1.95542,1.77056,-0.789569,0.0826604,-3.27251,-0.20173,-1.86154,-2.15394,-0.697651,0.620913,0.604273,0.290611,-2.53546,-2.98184,-3.10486,-1.4864,-0.660706,-0.936499,-1.34079,-0.331701,-2.98022,-3.53646
13,182,11,63,26,10.0961,0.986403,2.02832,1.76068,-0.309047,-0.438997,-3.408,-1.22294,-1.95146,-1.08774,-0.507391,0.524843,1.56108,0.388547,-2.99771,-3.67185,-2.89386,-1.49294,-1.07258,-1.34285,-1.32613,0.141806,-3.58425,-3.03051
14,195,12,70,36.0333,16.556,1.02158,2.42239,1.43567,-0.616267,-0.630467,-2.84419,-1.75714,-2.07895,-0.779919,-0.799536,-0.479721,1.66052,0.107059,-3.32005,-4.03758,-3.37808,-1.3073,-1.97921,-1.63326,-1.01185,1.15124,-3.81428,-3.5449
15,208,17,78,39.8333,16.5823,1.03543,2.13294,1.30179,-0.133803,-0.438266,-2.41671,-1.49973,-1.92342,-1.70541,-1.07805,-0.523506,1.76686,-0.587106,-3.49634,-4.19991,-3.68937,-3.01842,-1.4417,-2.11461,-1.05515,0.39386,-3.71723,-3.77368
16,221,24,80,45.1333,13.0536,1.04299,1.21543,1.53293,-0.342471,-0.752247,-2.36905,-2.33198,-1.97487,-1.83275,-1.92703,0.281963,1.76135,-0.67909,-3.91482,-4.84312,-3.76049,-2.11292,-1.94909,-1.11648,-1.56249,0.395584,-4.28029,-4.24518
17,234,7,75,39.1667,15.2295,1.04071,0.456802,1.53357,-0.526232,-0.4192,-2.8487,-2.0057,-2.48707,-1.32989,-1.93731,0.289449,1.37718,-1.63872,-4.17509,-5.37526,-3.2029,-2.31994,-1.60967,-1.04054,-1.39064,0.822986,-4.76745,-3.91059
18,247,16,78,44.6333,16.4054,1.0464,1.2258,1.1999,-0.724434,-0.314208,-2.41344,-2.52641,-2.50493,-1.56251,-2.21688,0.0142356,0.990419,-1.62828,-5.3604,-5.7367,-3.67069,-2.68102,-1.41282,-0.85516,-1.70091,-0.428213,-4.86933,-4.84865
19,260,20,76,40.5333,14.4383,1.06116,0.613714,1.27457,-0.90909,-1.45349,-3.08527,-2.5533,-2.92582,-1.78579,-2.53059,0.219517,1.25856,-1.37168,-5.40619,-6.89027,-3.5057,-3.1237,-1.95156,-0.965969,-1.75828,-0.224533,-4.2385,-5.77069
20,273,18,80,45.7,16.1782,1.06281,1.30075,1.31663,-0.839412,-1.75037,-2.97534,-2.85245,-2.51468,-1.29101,-3.04185,-0.262521,0.645698,-1.20319,-6.01034,-6.50734,-2.72402,-3.69412,-2.64448,-0.978331,-1.60375,0.449974,-4.0089,-5.46328
21,286,9,113,46.8,23.0553,1.04775,1.13074,2.11657,-0.738996,-1.09154,-3.06953,-3.22594,-2.13966,-1.35596,-2.97551,-0.602543,-0.322521,-0.8633,-5.87794,-6.56005,-2.84892,-3.39522,-3.08955,-1.72426,-1.48944,0.198645,-4.05336,-5.65522
22,299,6,112,41.1667,22.0377,1.01436,0.879143,1.46739,-0.59893,-1.10035,-2.64369,-3.27603,-3.0671,-1.01675,-2.39892,-0.0294116,-0.427454,0.0496037,-5.3932,-6.19185,-2.76407,-2.87473,-3.31703,-1.41414,-1.98021,-0.442499,-4.17515,-5.69759
23,312,18,92,50.2333,22.2659,1.00839,0.697305,1.8501,-0.847973,-0.827735,-2.93146,-2.8653,-2.75707,-0.38471,-3.15762,-0.490153,-0.96315,-0.414432,-5.15593,-6.61641,-3.60374,-2.79165,-3.90622,-2.05779,-2.66376,-0.573669,-4.76019,-6.74547
24,325,23,163,52.2667,26.2559,1.01273,0.577947,2.73963,-0.712723,-1.61525,-2.713,-3.69239,-2.80785,-0.901835,-2.51084,-0.376789,-1.0347,-1.63595,-5.49934,-6.76023,-3.15727,-2.81489,-4.22718,-1.48675,-2.69229,-0.881314,-4.80925,-7.75561
25,338,12,134,56.7333,30.4279,1.02604,0.330879,3.04194,-1.33299,-0.976887,-3.06035,-3.73569,-2.47542,-1.11265,-2.39623,-0.0720477,-0.462416,-2.02618,-6.02815,-7.59408,-3.61842,-3.16291,-4.35951,-1.88549,-3.41216,-1.43359,-5.71155,-8.54479
26,351,11,113,50,25.0544,1.04874,0.154234,2.65643,-2.19568,-0.825025,-3.52111,-4.34913,-2.23751,-0.285174,-1.96346,-0.410748,-1.0326,-1.56302,-6.78121,-7.49875,-3.75754,-3.42763,-4.32286,-2.29707,-3.70718,-1.47896,-5.96966,-9.20838
27,364,14,108,44.6,25.0305,1.07742,1.22534,2.53337,-1.83194,-0.0810656,-2.94615,-4.53424,-2.22217,-0.382637,-1.60067,-0.30436,-1.68773,-2.27639,-7.85047,-7.71795,-3.12646,-2.56311,-4.37802,-2.62696,-3.27693,-2.23172,-6.05965,-9.4118
28,377,15,130,55.8667,27.0131,1.10846,1.58261,3.75044,-1.20138,-0.667569,-3.02789,-4.09711,-1.77775,-1.2116,-2.93272,-0.548478,-1.9554,-2.05819,-6.91589,-7.63951,-2.93671,-2.06597,-5.0613,-2.29115,-3.41722,-2.61912,-7.78748,-9.72346
