generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,57,1173,375.9,288.536,-5.78844,0.517022,-2.38004,-4.50299,-8.39608,-9.32145
1,200,148,21965,7121.13,5492.45,-7.26039,5.32421,-4.84961,-12.4134,-10.1834,-9.36841
2,300,1677,87860,26430.7,24453,-6.84464,6.67639,-5.86934,-14.9512,-11.9148,-5.68702
3,400,254,130305,28514.4,31239.3,-8.23425,7.87649,-5.93974,-15.7025,-15.0812,-6.57864
4,500,278,87324,20966.8,18811.9,-8.92538,7.52076,-5.03105,-14.2295,-15.8329,-7.12412
5,600,192,71694,16701.2,18917.9,-10.0398,7.19956,-6.83889,-16.5713,-16.4138,-7.19373
6,700,137,98092,26117.8,23700.4,-9.05471,7.22955,-6.64467,-18.3216,-15.9341,-6.76832
7,800,1126,125587,35782.8,30587.6,-9.0036,6.38223,-6.36442,-20.3429,-15.4632,-6.67838
8,900,231,168573,34811.6,38347.6,-9.06475,6.68679,-6.41999,-20.3044,-16.6699,-7.41167
9,1000,335,116372,22898.6,26833.8,-8.36597,8.16882,-7.66933,-19.5044,-16.2617,-7.70925
10,1100,619,95435,29288.9,28740.3,-9.10834,8.38583,-7.48299,-19.6762,-18.8081,-7.05475
11,1200,240,76782,21144.1,20208.6,-9.90302,8.75176,-6.90326,-18.1019,-20.0332,-7.3986
12,1300,513,95600,22822.7,23853.2,-10.6712,8.8447,-6.9249,-18.5734,-20.2706,-8.26744
13,1400,2891,103771,30791.8,27052.8,-10.8123,8.39885,-6.94734,-17.9886,-22.4476,-8.11882
14,1500,943,73512,23994.8,18120.5,-11.0194,8.05472,-6.7571,-17.7405,-24.4316,-8.46943
15,1600,1180,108061,35076.4,30276.9,-11.2473,7.27535,-7.08761,-18.8291,-23.7046,-8.91073
16,1700,90,76202,22820.2,21325.1,-11.9024,7.11268,-8.29171,-19.0255,-24.1137,-9.79701
17,1800,486,162064,32828.2,39080.8,-12.5827,7.2869,-7.63901,-19.4019,-25.1795,-9.08749
18,1900,1107,135689,31143.2,30140.1,-11.4907,8.2256,-7.80958,-20.4648,-24.8631,-9.93957
19,2000,635,78998,29212.9,24996.6,-12.3622,7.7166,-7.32378,-21.2121,-25.5234,-8.99143
20,2100,520,83927,25207.2,19959.5,-12.3802,8.64378,-8.29092,-19.8891,-24.3513,-7.63667
21,2200,336,113959,27409.8,29901.2,-12.5328,8.56158,-8.21363,-20.4668,-23.4518,-8.07066
