generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,1,14,4.86667,3.38081,0.95652,-1.52294,0.274359,-0.688127,0.498295,-0.55708,-0.080928
1,12,0,5,2,1.61885,0.954268,-2.45746,0.0737602,-1.06695,0.275513,0.228988,0.277964
2,18,14,84,38.6667,17.0341,1.0531,-3.73617,1.51406,-1.19013,-0.477726,0.401537,0.0374601
3,24,26,290,101,52.3213,1.25131,-4.96085,1.65231,-2.38223,-2.09133,0.127014,-0.678355
4,30,40,443,133.333,88.4383,1.40153,-5.41677,1.60862,-3.05064,-2.98429,-0.225325,-0.503003
5,36,81,1028,459.8,273.367,1.60506,-5.40938,3.79421,-2.88874,-4.80044,-0.259096,-0.716496
6,42,321,22098,4465.5,4287.64,1.64909,-2.50782,2.89567,-2.05306,-3.92928,-1.83937,-1.61594
7,48,108,7799,2096.8,1892.22,1.87072,-2.66637,5.6973,-2.54904,-4.84307,-2.70992,-3.33501
8,54,121,1680,536.067,385.383,2.07096,-2.70079,7.97823,-3.10656,-4.56524,-2.55325,-3.72643
9,60,114,1919,844.967,501.725,2.30349,-3.40014,9.97144,-4.53917,-7.96301,-1.82635,-4.06384
10,66,175,3874,1137.07,928.17,2.35078,-4.99345,10.6215,-4.67121,-7.41034,-3.51364,-4.10656
11,72,472,24067,8702.1,7478.01,2.43062,-4.06888,9.4569,-3.19447,-9.26944,-5.9294,-3.42265
12,78,117,16277,5645.93,4841.96,2.54045,-7.15552,11.1353,-4.63354,-11.7618,-5.90619,-2.40673
13,84,224,22811,5091.27,5179.56,2.35065,-6.14484,10.1052,-4.81413,-11.3615,-2.69564,-2.95523
14,90,94,15107,4317.03,3521.93,2.35346,-3.19354,13.1319,-3.67946,-10.9649,-3.13037,-1.74622
15,96,117,14376,4088.07,3795.13,2.3136,-2.32252,14.0532,-4.06041,-11.972,-4.38555,-1.58964
16,102,115,6818,2440.67,1995.48,2.21892,-0.677123,10.635,-3.23288,-12.3595,-3.96498,-3.17658
17,108,165,35800,11025.2,10721.8,2.18877,-3.74822,8.53241,-4.596,-13.1627,-3.26959,-4.61745
18,114,675,31761,12159.4,8766.95,2.19922,-2.52915,9.72415,-5.53701,-15.7793,-4.55553,-3.84639
19,120,509,51959,12873.9,11583,1.99649,-4.12743,9.74688,-5.13689,-15.4216,-4.16476,-4.18318
