generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
54,5500,24,252,84.7,50.304,4.8946,-1.28588,-8.30899,-6.67164,-5.54112,-10.3599,-6.9901,-1.06549,-12.4519,-12.7898,2.02414,-7.02441,-2.13613,-7.95439,-7.15221,-7.99322,-2.28969,-8.33373,-4.73609,-0.843085,-20.0751,-25.4102
55,5600,35,221,96.7333,43.2546,4.89943,-1.25418,-8.3056,-6.67495,-5.54209,-10.3688,-6.99013,-1.06845,-12.4534,-12.8149,2.02617,-7.02409,-2.10814,-7.9613,-7.14785,-7.99665,-2.29183,-8.34037,-4.73726,-0.842903,-20.094,-25.4037
56,5700,18,305,111.7,62.8003,4.89713,-1.24235,-8.30738,-6.67451,-5.54344,-10.3622,-6.99076,-1.06728,-12.4539,-12.8328,2.03887,-7.0234,-2.0673,-7.9577,-7.1487,-7.99783,-2.29217,-8.34955,-4.73645,-0.842394,-20.0428,-25.4215
57,5800,44,187,104.567,37.8843,4.89481,-1.23582,-8.30737,-6.67279,-5.55447,-10.3639,-6.99165,-1.06799,-12.4539,-12.8113,2.04369,-7.02407,-1.98992,-7.95703,-7.14796,-8.00111,-2.29148,-8.33541,-4.73259,-0.842374,-20.0826,-25.442
58,5900,27,363,97.5667,61.5897,4.89721,-1.22592,-8.30808,-6.67194,-5.56062,-10.3657,-6.98931,-1.06795,-12.4538,-12.804,2.05338,-7.02409,-1.96774,-7.95113,-7.14618,-8.0047,-2.29151,-8.33139,-4.73268,-0.842338,-20.0754,-25.4462
59,6000,38,206,92.5333,44.1968,4.89541,-1.26236,-8.30822,-6.67188,-5.56146,-10.3592,-6.9889,-1.06485,-12.4534,-12.7357,2.05232,-7.02416,-2.00202,-7.94975,-7.14478,-8.00617,-2.29287,-8.32795,-4.73245,-0.842233,-20.0702,-25.4497
60,6100,16,256,97.1333,50.4796,4.89431,-1.24306,-8.30836,-6.67212,-5.54771,-10.3617,-6.99091,-1.06644,-12.4539,-12.7397,2.05279,-7.02434,-2.01707,-7.94962,-7.14497,-8.00333,-2.29313,-8.32619,-4.73376,-0.842128,-20.0628,-25.4649
61,6200,14,160,85,40.1823,4.88597,-1.23926,-8.30891,-6.67217,-5.56219,-10.3596,-6.98892,-1.06424,-12.4547,-12.7524,2.05282,-7.02431,-2.02307,-7.94867,-7.14526,-8.0025,-2.29413,-8.33614,-4.73421,-0.842239,-20.042,-25.46
62,6300,20,259,107.667,52.0711,4.88738,-1.31407,-8.30777,-6.67215,-5.56576,-10.3616,-6.99029,-1.064,-12.4549,-12.724,2.06001,-7.02471,-1.9873,-7.94921,-7.14493,-8.00322,-2.29228,-8.32941,-4.73435,-0.842278,-20.0664,-25.4625
63,6400,13,330,119.467,69.9471,4.88171,-1.28452,-8.30778,-6.67196,-5.56124,-10.3632,-6.98741,-1.06495,-12.4548,-12.7638,2.05854,-7.02477,-1.97544,-7.94891,-7.14447,-8.00524,-2.29103,-8.3248,-4.7349,-0.842289,-20.0818,-25.4643
64,6500,15,255,110.467,59.9458,4.87852,-1.27159,-8.30699,-6.67302,-5.55879,-10.3661,-6.98779,-1.06449,-12.4541,-12.8029,2.059,-7.02495,-1.95359,-7.94605,-7.14445,-8.00612,-2.29076,-8.32659,-4.73404,-0.842324,-20.0866,-25.4609
65,6600,22,228,104.3,51.3649,4.88074,-1.36123,-8.30669,-6.67328,-5.54714,-10.3669,-6.98771,-1.06362,-12.4541,-12.7829,2.05502,-7.02505,-1.94865,-7.94743,-7.14422,-8.00644,-2.29062,-8.32881,-4.73471,-0.842348,-20.05,-25.461
66,6700,35,216,99.6333,46.1067,4.87922,-1.34186,-8.30702,-6.67401,-5.5495,-10.3682,-6.98862,-1.06412,-12.4548,-12.8403,2.05333,-7.02507,-1.94847,-7.94666,-7.14405,-8.00438,-2.29142,-8.32464,-4.73434,-0.842343,-20.0905,-25.4596
