generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,2,0.233333,0.504007,0.932739,0.121154,0.105761,0.40825,-0.445332,-0.384099,-0.52245,-0.0695935,-0.735846,-0.743329,-0.833507,0.575667,-0.623679,-0.21276,0.502041,-0.0115453,0.0402956,0.724565,-0.102969,0.147588,-1.02582,-0.0979713,0.214381
1,26,0,10,3.23333,2.73777,0.884804,1.17638,-0.171834,-0.67927,-0.395537,-0.225117,-0.8769,0.0566932,-0.497178,-0.411614,-1.29038,0.135385,-0.47284,0.47169,-0.549808,-0.384675,-0.12997,0.496398,-0.209878,-0.197568,-1.39113,-0.11336,-0.173628
2,39,0,13,4.5,3.44163,0.868735,0.983426,-0.00576505,-1.27869,-0.703374,-0.205805,-1.12455,0.570917,-0.167569,-0.61201,-1.98157,0.771946,-0.794428,0.38616,-0.572742,0.00143527,-1.53278,0.509531,0.411015,0.259901,-1.12553,-0.28611,-0.711998
3,52,0,17,4.53333,3.89282,0.85297,0.288384,0.408277,-1.79681,-0.384446,-0.283476,-1.58404,0.0524639,0.0985105,-0.341555,-2.30293,0.807843,-1.24016,-0.332904,-0.585398,-0.172919,-1.39733,0.0262219,-0.111259,0.226483,-1.4748,-0.139279,-0.684948
4,65,3,20,10.6,4.44584,0.848931,-0.0488907,-0.0375055,-2.15512,-0.273061,-0.618214,-1.31933,-0.245005,0.415053,-0.143765,-2.09536,0.929574,-0.459653,-1.04981,-0.612734,-0.42939,-1.92502,-0.332834,0.422011,-0.522436,-2.1832,-0.227826,-0.856796
5,78,3,28,10.8333,5.35681,0.855626,0.805304,-0.340343,-1.61744,-1.05267,-1.40264,-1.69886,-0.425322,0.578391,0.103247,-2.14326,1.28015,-1.57997,-0.490731,-1.67058,-1.03892,-2.02217,-0.190621,0.468128,-0.604551,-1.98589,-0.196178,-1.39599
6,91,5,25,11.7667,4.83296,0.852356,0.793651,0.136527,-1.85735,-0.770773,-1.9629,-1.72499,-1.05666,0.63304,0.4973,-2.22704,1.04235,-1.28235,-0.770884,-1.64142,-0.572887,-2.25736,-0.495931,0.587094,-0.241273,-2.10325,-0.334527,-1.41395
7,104,3,26,14.2333,5.39274,0.871424,0.361654,0.430822,-2.54255,-0.883225,-1.07858,-1.99083,-1.64545,1.36065,0.0452829,-2.04906,0.112637,-1.65181,-0.734217,-1.87228,-1.26354,-2.87815,-0.462209,0.704155,-0.561297,-2.54092,-1.084,-1.91013
8,117,6,30,12.4667,4.83331,0.851645,0.913191,0.109235,-2.86834,-0.444725,-1.06035,-1.56934,-1.32477,1.09823,-0.0519881,-1.76354,0.285342,-1.60212,-1.03252,-1.48611,-1.35114,-2.38812,-0.113566,0.289278,-0.839485,-2.25745,-1.13784,-2.08947
9,130,11,48,25.4333,8.93148,0.8444,0.510022,0.14665,-2.59382,-0.879754,-1.15396,-1.00678,-1.10379,1.01193,-0.0298948,-2.11067,0.810553,-1.15356,-1.50503,-1.60265,-1.40649,-2.77544,-0.343607,0.672018,-1.54672,-2.09039,-1.06479,-3.21649
10,143,2,61,33.2,14.9906,0.834974,0.186984,0.374031,-2.13288,-1.08872,-1.15824,-0.629572,-1.27222,0.896615,-0.707355,-1.81027,0.34024,-1.50096,-1.92644,-2.19623,-1.43152,-2.90905,-0.400588,0.502375,-0.793009,-2.39611,-1.46793,-3.34408
11,156,10,72,34.1667,15.5831,0.831569,-0.435707,-0.0645431,-1.69358,-1.24811,-1.47939,-0.606661,-1.42025,1.05415,-0.957769,-2.18596,0.0486102,-1.43746,-2.14114,-1.55052,-1.72432,-3.23863,-0.7401,0.629394,-1.22116,-2.59792,-1.53918,-3.58432
12,169,8,88,41.3333,20.5784,0.83635,0.772582,0.619082,-2.36454,-1.36241,-2.13967,-0.903793,-1.9302,0.69095,-1.14258,-1.77654,-0.200094,-1.82288,-2.49122,-1.85661,-2.37509,-2.86575,-0.933328,0.264887,-1.88534,-2.51831,-1.30426,-3.77743
13,182,22,145,65.2667,34.0749,0.852403,0.784791,0.240118,-1.68695,-1.5744,-2.38213,-0.738421,-1.46123,0.780577,-1.64576,-1.503,-0.78077,-2.14001,-2.81052,-2.2216,-2.50842,-2.81916,-1.36888,-0.992656,-1.54742,-2.22364,-0.910512,-3.88607
14,195,20,108,52.3333,21.7673,0.895193,0.15004,0.496648,-1.7543,-2.02887,-2.7043,-1.0411,-1.28721,0.137915,-1.68942,-1.36436,-1.18016,-2.26411,-2.71173,-2.02355,-3.09634,-3.2685,-1.36434,-2.0907,-2.61948,-1.87151,-0.992243,-4.17609
15,208,14,164,79.7,35.4451,0.949631,1.04607,0.137969,-1.54526,-2.88933,-2.50536,-1.6046,-1.34692,0.365258,-2.75655,-1.95665,-0.379151,-2.50934,-2.58829,-1.14899,-2.86581,-3.08992,-1.8061,-2.19332,-2.67185,-1.39163,-1.38103,-5.42015
