generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,9,2.7,2.24607,-4.42252,6.14768,-1.51386,0.732336,-2.94436,-5.39309,2.34411,-1.76432,-3.83606,-5.88344,2.60857,-1.82971,-1.62047,-7.74232,-0.712032,-0.110675,3.40419,-3.67094,-0.627288,-5.30018,-0.140104,-7.1924
1,200,6,35,17.1667,6.98315,-1.25952,5.0245,-4.22439,-7.33109,-2.61662,-4.11055,1.97472,-2.414,-5.09842,-9.56906,-1.256,-4.7168,-2.55554,-7.56448,-5.42542,-5.85585,4.23115,-11.434,1.46392,-9.4166,-3.44235,-11.6947
2,300,6,30,14.6667,5.31967,-5.1851,3.49157,-5.32239,-7.79853,-0.388374,-7.19478,0.11113,-5.41626,-5.90858,-12.8421,-8.00172,-4.35209,-8.55545,-6.70393,-3.99334,-7.89375,5.29591,-10.9838,2.42883,-7.2844,-1.81685,-14.6665
3,400,5,85,24.1333,16.2899,-8.06798,-1.28235,-3.53688,-9.25622,0.194604,-3.24194,1.5339,-4.32933,-6.13885,-9.77235,-5.74514,-6.23383,-11.0633,-6.42917,-0.852191,-7.36416,2.8381,-9.94661,2.73686,-7.48147,-8.22104,-19.5698
4,500,15,136,49.3667,25.095,-8.91426,1.08081,-2.92355,-9.66432,-0.467663,-0.753641,-0.253255,-4.75342,-5.77876,-4.49884,-2.728,-6.31242,-9.35412,-6.92237,-3.74808,-7.03456,-0.270064,-11.2283,3.76279,-9.67395,-18.8462,-19.0474
5,600,25,124,55.4,19.4344,-8.06469,-1.36821,-3.85759,-8.41892,0.139489,-0.382611,-1.23399,-4.86076,-4.82964,-2.39655,-1.62344,-3.65223,-8.16637,-7.55538,-4.20176,-6.66516,-2.97215,-11.2588,-0.470651,-8.67209,-23.0878,-21.4209
6,700,24,156,59.2,29.4787,-7.46246,-1.35828,-3.39385,-8.19299,0.170746,-0.75439,-2.18375,-3.92639,-5.14178,-2.78159,-0.521897,-6.01467,-8.81152,-7.42733,-3.33889,-7.55829,-3.99922,-11.7963,-1.09317,-8.43459,-21.467,-21.4452
7,800,23,175,67.3333,33.7019,-8.59894,-0.352823,-4.03197,-8.77014,0.468864,-2.30086,-3.35794,-3.42459,-4.90775,-4.72177,-1.44107,-8.88977,-7.33193,-7.52658,-1.98647,-3.16611,-3.02762,-10.0845,-2.55235,-8.35242,-21.508,-22.4235
8,900,22,131,75,30.0781,-8.86724,-0.525359,-4.62443,-8.49663,-0.289118,-2.51698,-5.13312,-3.72967,-4.69386,-3.97292,-0.931206,-11.3362,-7.10379,-7.70707,-4.39476,-3.72607,-3.81786,-9.61538,-3.30997,-8.00565,-19.7367,-22.7011
9,1000,29,244,97.3,51.6555,-9.30445,0.307003,-5.56869,-8.48537,-2.20853,-2.55643,-5.42926,-3.50952,-4.23438,-4.6631,-1.49814,-11.0454,-5.84395,-8.03947,-4.08434,-2.96783,-4.01656,-9.06281,-2.61168,-7.574,-17.851,-22.9064
