generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,489,34099,8316.4,8178.13,0.951671,-0.626662,0.122934,-0.417922,-1.60643,-0.233691,-0.189817
1,12,39,40325,10234.2,9969.91,0.923301,-0.877869,0.167165,-0.523629,-2.30384,-0.347952,-0.282065
2,18,230,6285,1432.53,1352.29,1.03347,-2.6256,0.478771,-0.658767,-2.65777,0.0618235,-1.7117
3,24,151,3915,919.9,810.754,1.11202,-3.33228,0.778242,-1.04729,-2.50891,-0.702315,-1.97532
4,30,77,1286,304,244.197,1.22562,-4.87409,0.661294,-1.60742,-2.72161,-0.796858,-2.47016
5,36,148,5295,1520.6,1358.59,1.16977,-3.94229,-0.0554403,-1.02984,-2.36398,-1.41106,-1.27948
6,42,139,12500,2866.67,2996.43,1.02896,-2.68407,-0.209565,-1.31197,-2.49456,-1.35193,-0.786245
7,48,83,8576,1587.97,1793.46,1.01561,-4.62535,0.317539,-0.541875,-3.63674,-1.36576,-1.88543
8,54,291,14277,4358.5,3660.39,0.913836,-2.97078,-0.118496,-1.2549,-3.34127,-1.59548,-0.658501
9,60,65,39669,13066.8,10174.8,0.922793,-3.0538,0.0457355,-1.93146,-4.33082,-2.2427,-1.64108
10,66,566,43052,11960.6,11007,0.886,-4.22358,0.239386,-1.51604,-4.94155,-1.826,-2.03939
11,72,491,33864,10966.5,10339.1,0.818105,-3.68004,-0.160048,-1.68407,-4.08342,-2.67895,-1.41479
12,78,199,38480,10076.5,10417.5,0.789459,-4.19089,-0.431254,-1.65543,-3.96406,-3.09178,-2.01338
13,84,96,32439,12336.3,8309.32,0.744505,-3.84434,-0.0936354,-1.53397,-3.86277,-3.27943,-2.31609
14,90,1010,53411,12467.8,11287.5,0.767487,-3.67399,-0.157718,-0.974942,-3.74959,-4.05102,-2.33414
15,96,1807,46513,12975,10159.1,0.78915,-4.03436,0.281845,-1.4485,-3.48182,-4.51207,-1.86097
16,102,1792,49214,11032.4,10808.3,0.763478,-3.75299,0.295733,-1.21085,-2.77756,-4.1844,-2.22738
17,108,536,28477,8520.93,7484.78,0.730806,-2.67981,-0.0795691,-1.19406,-2.53382,-3.74235,-2.18547
18,114,581,45385,12727.8,11322.4,0.652609,-2.63007,-0.189737,-1.06185,-2.91648,-3.49246,-1.53124
19,120,312,97560,24276.4,26771.5,0.610191,-2.57652,0.401839,-0.840297,-3.10553,-3.52138,-1.61582
20,126,179,76649,17609.8,18564.6,0.558914,-2.41889,0.193006,-1.15179,-2.97008,-3.84142,-2.13603
21,132,586,47336,14599.2,13820.3,0.545642,-2.52207,0.660176,-1.22549,-3.65424,-3.68394,-2.12667
22,138,40,101412,23534.9,24622,0.573623,-1.91234,1.05524,-1.16267,-3.5259,-3.31241,-1.79134
23,144,22,58058,14000.5,13129.6,0.570254,-1.86803,0.68152,-1.10297,-3.81149,-3.83577,-2.34857
24,150,481,65644,13325.4,14684.7,0.521886,-1.8605,0.376866,-1.16022,-3.66617,-3.92133,-2.28235
25,156,60,89546,25185,23461.9,0.465349,-2.35076,0.340876,-1.34271,-3.85012,-4.08311,-2.34418
26,162,55,105052,24167.2,28317.3,0.420251,-2.68046,0.189658,-1.28479,-3.64058,-4.01524,-2.12561
27,168,2838,59088,19153.2,14073.4,0.421863,-2.92344,0.18536,-1.63365,-4.24437,-3.90875,-2.20128
28,174,1781,85575,30933.6,25799.7,0.425406,-2.89794,0.167651,-1.48635,-4.10383,-4.2909,-1.80271
29,180,3115,126126,32781.3,32145.5,0.404914,-2.94003,0.260304,-1.54692,-4.15979,-4.43413,-1.8968
30,186,326,70464,19577.6,16718.9,0.420497,-3.1215,0.315889,-1.77359,-4.26785,-4.42491,-1.51623
31,192,1360,116299,27740.7,23736.8,0.440813,-2.82587,0.932054,-1.64601,-4.30718,-4.39092,-1.71103
32,198,1155,65789,20964.4,16761,0.445461,-3.09835,0.934283,-1.74313,-3.98418,-4.05046,-1.73754
33,204,2146,68500,21809.2,18976.5,0.451744,-3.08439,0.989647,-1.58776,-4.06942,-3.533,-1.84188
34,210,292,88283,22837.2,22545.9,0.465488,-2.85798,1.09348,-1.45042,-4.21379,-3.16683,-1.81585
35,216,637,72233,25040.8,20218.2,0.49034,-2.73215,1.04295,-1.50856,-4.29032,-2.71012,-1.91547
36,222,598,114455,19001,25431.3,0.522912,-2.30176,0.813038,-1.84142,-4.26743,-2.60362,-1.80487
37,228,529,95116,21588.4,22344.7,0.493455,-2.63133,1.08341,-1.67292,-4.20739,-2.5517,-1.94137
38,234,744,37599,15877.3,11938.9,0.51319,-2.37063,1.22458,-1.74714,-4.28132,-1.88713,-1.62268
39,240,496,82841,22368.8,19307.3,0.485271,-2.17014,1.45069,-1.73274,-4.11539,-2.53155,-1.85474
40,246,675,53034,12064.3,12139.6,0.475468,-2.36963,1.49402,-1.43171,-4.08639,-2.28327,-2.33196
41,252,398,64225,14479,16033.6,0.426231,-2.2564,1.51359,-1.5291,-4.32695,-2.38895,-2.17048
42,258,110,56499,18732.6,12699.2,0.384402,-2.31227,1.44594,-1.81771,-4.46829,-2.36098,-1.95539
43,264,1397,51062,23008.4,13804.1,0.373448,-2.23761,1.49386,-1.71136,-4.43827,-1.99727,-1.60029
44,270,1062,71013,27545.6,21859.7,0.362656,-2.33243,1.716,-1.71299,-4.50883,-2.4105,-1.57691
45,276,1808,123396,24552,23713.6,0.361148,-2.17077,1.83908,-1.72714,-4.82698,-2.23232,-1.83266
