generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,3,0.5,0.776819,0.938365,0.0445532,0.385648,-0.360987,0.686082,1.2723,-0.525272,-0.0113259,0.190539,-0.154228,-1.17979,-0.418235,-0.417005,-0.494261,-0.287105,0.841576,-0.146728,0.503684,-0.25081,-0.0851305,-0.284173,0.351338,-0.0984417
1,26,0,1,0.0333333,0.182574,0.908839,-0.340369,0.575718,-0.516832,0.557291,1.03256,-1.02862,0.458129,0.270081,-0.4373,-2.56928,0.122512,-0.398727,0.00837382,-0.33201,1.05334,0.0666273,0.476266,-0.0942761,0.184378,-0.32417,-0.594235,-0.447341
2,39,0,7,2.13333,1.94286,0.907919,-0.898071,0.0865555,-0.571331,0.871355,1.68961,-0.367151,0.536439,-0.108057,-0.624494,-2.77903,0.36266,-1.17893,0.454545,-0.711477,1.19482,-0.741427,1.2398,-0.715992,-1.18819,-0.176868,-0.403023,-0.808636
3,52,0,4,1.33333,1.32179,0.909294,-1.04687,0.533505,-0.80231,0.52066,1.93702,-0.467078,0.258906,-0.212487,-0.0457954,-2.73734,0.355159,-1.16256,0.62798,-1.32842,1.39436,-0.64619,1.92107,-0.709401,-1.53347,0.57892,0.339402,-1.09243
4,65,0,5,2.23333,1.54659,0.908992,-0.742474,-0.455102,-0.263325,0.203009,2.26203,-0.121651,0.472382,-0.0999462,0.136301,-2.63793,0.778174,-1.66449,1.01335,-0.913291,1.13844,-1.04677,1.41707,-1.36666,-1.23833,0.0484992,0.286405,-2.33148
5,78,0,9,3.26667,2.37709,0.926495,-0.980111,-0.677157,-0.746558,0.501263,2.53605,-1.64886,-0.63721,0.1137,-0.325231,-1.99594,0.391225,-1.75022,2.3179,-0.700148,1.148,-1.15517,1.46556,-1.20515,-1.50669,-0.376835,-0.343923,-2.75932
6,91,0,9,3.5,2.51547,0.970588,-1.15794,-1.33641,-1.19482,1.07478,3.11225,-1.95711,-0.766285,-0.205391,-0.850734,-2.67027,0.997209,-2.40686,2.76147,-0.798855,0.33865,-1.70082,1.26251,-1.06511,-2.32338,-0.87621,-1.05038,-2.4853
7,104,0,7,2.5,1.67641,1.0231,-1.2962,-1.41697,-1.43953,1.40003,3.05878,-1.44236,0.293951,0.311121,-0.795413,-2.34738,1.17642,-2.15759,3.8259,-0.420443,0.331995,-2.19958,1.55105,-2.10398,-2.56885,-0.812278,-1.47027,-3.41607
8,117,0,9,3.3,2.10336,1.03044,-1.24533,-0.300579,-1.52794,1.10636,2.23224,-1.26823,0.790518,0.562276,-0.83112,-2.73298,1.0743,-2.41764,3.34148,-0.648861,0.237994,-1.38205,1.92588,-1.66725,-2.32235,-0.709543,-1.53017,-4.051
9,130,0,9,4,2.40689,1.03829,-1.47017,0.0298227,-1.46737,1.7207,2.54813,-1.51161,-0.014011,0.873377,-1.35308,-3.07179,1.15502,-2.97291,3.36621,-0.413357,0.871432,-2.13982,1.66064,-2.15131,-3.50641,-0.599442,-1.37694,-3.83775
10,143,0,8,3.63333,2.17324,1.03793,-1.53529,-0.32966,-0.993735,1.80697,3.03315,-1.91587,-0.387993,0.916309,-1.82179,-3.72339,1.17714,-2.4508,3.143,-0.436174,0.683691,-2.12678,1.41897,-1.85352,-4.32543,-0.513586,-0.557484,-4.12964
11,156,0,18,6.46667,4.15006,1.0246,-0.333856,-0.370707,-0.45996,0.912738,3.03311,-2.88709,-0.930291,0.549526,-2.19834,-3.51731,1.25086,-2.36496,2.68442,-0.732524,-0.0266894,-2.28805,0.4721,-1.47649,-4.08499,-0.206421,-0.434491,-3.53913
12,169,0,16,6.73333,4.36233,1.04082,0.392003,-0.691376,0.0514248,0.67763,3.63269,-3.10499,-2.28072,1.01949,-2.47608,-2.87358,0.411921,-2.06214,3.03183,-0.831121,0.354717,-2.03432,0.190369,-1.55278,-4.4979,-0.137328,-1.56703,-4.06914
13,182,0,17,6.8,4.42875,1.08669,0.179518,-0.353318,-0.612715,0.620585,4.92533,-2.72348,-2.73098,0.763022,-3.29328,-3.30131,0.63754,-2.62933,4.26954,-0.784308,1.35057,-2.87825,-0.0931526,-1.58349,-5.04537,-0.130675,-2.53543,-4.87596
14,195,3,22,10.6,5.53733,1.10959,0.302512,-0.292118,-0.751306,0.643431,3.72225,-3.00368,-2.87085,0.178537,-3.43756,-4.4592,0.851163,-3.55721,4.5482,-0.314077,0.0371202,-3.49723,0.34163,-1.92602,-4.801,0.0415619,-2.86488,-4.83052
15,208,2,24,10.8,4.78792,1.13126,-0.293318,-1.18314,-1.10138,0.263549,3.62713,-2.9227,-2.99481,-1.09919,-3.48267,-4.64372,0.323019,-4.53826,4.08781,0.0233572,0.783599,-3.99681,0.469559,-2.13699,-4.95569,-0.102551,-3.04451,-4.98397
16,221,3,34,13.8667,7.5509,1.16717,-0.0394758,-1.03353,-1.32301,0.199416,0.987888,-3.67505,-3.15384,-2.04274,-3.50946,-4.14456,0.245547,-3.78909,3.18311,-0.80174,1.3111,-3.5893,0.0236382,-1.95134,-5.08947,-0.234845,-2.45269,-6.23878
17,234,2,37,15.2333,7.67748,1.21812,0.372981,-1.0287,-1.73051,0.183055,0.499339,-2.09451,-3.02384,-2.29268,-3.72573,-4.64213,-1.11265,-3.12802,2.61505,-1.28974,1.29238,-2.79375,-0.114614,-1.57873,-4.4776,0.821715,-2.97776,-7.43608
18,247,5,40,19.3667,9.21574,1.26413,0.562778,-0.888327,-1.19677,0.777553,-0.316656,-2.66414,-3.09533,-2.8659,-3.85666,-3.48738,0.516473,-3.44599,2.21366,-1.74236,0.697193,-3.51012,0.228028,-1.57407,-4.15548,0.572818,-2.19672,-8.67149
